Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
149,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-206,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6b5edd5d
150,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-274,1989,12,4,441,4.9,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,3,22,0.20,0.00,0.20,0.20,0.20,0.14,0.07,0.21,0.14,0.21,d5dd5f1f
151,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-274,1989,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.18,0.00,1.18,1.18,1.18,d5dd5f1f
152,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-060,1997,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,649b01d8
153,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-201,1994,25,23,1984,22.0,2,2,4,2,0,0,1,0,0.5,0.5,1.6,2.1,57,77,93,0.09,0.09,0.18,0.09,0.18,0.02,0.07,0.10,0.02,0.10,3cd3b384
154,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-332,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,9fec8860
155,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-332,1994,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,9fec8860
156,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-085,1992,18,16,1430,15.9,1,0,1,1,0,0,2,0,0.7,0.7,1.0,1.7,33,59,42,0.06,0.00,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,5c2b4f07
157,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-018,1991,20,16,1259,14.0,2,2,4,1,1,1,0,0,2.3,1.5,2.0,3.5,19,72,56,0.14,0.14,0.29,0.07,0.21,0.16,0.14,0.30,0.11,0.25,7dfbba27
158,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-041,1994,22,19,1402,15.6,7,2,9,5,2,3,7,1,5.8,3.4,1.6,5.1,19,31,78,0.45,0.13,0.58,0.32,0.45,0.37,0.11,0.48,0.22,0.33,253a06b9
159,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-189,1986,18,16,1462,16.2,1,0,1,1,0,0,1,1,1.0,1.0,0.0,1.0,3,30,0,0.06,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06,a94d93be
160,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-219,1997,16,9,730,8.1,4,0,4,4,0,0,0,0,4.5,4.5,1.0,5.5,11,7,33,0.49,0.00,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68,e5478b87
161,Mehmet-Can Aydin,de GER,DFFW,Schalke 04,de Bundesliga,21-038,2002,14,3,482,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,8,8,19,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,fe46e261
162,André Ayew,gh GHA,FW,Nott'ham Forest,eng Premier League,33-092,1989,7,1,229,2.5,0,0,0,0,0,1,0,0,1.0,0.2,0.0,0.2,3,6,14,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.08,0.08,5dbefa9d
163,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-189,1991,27,22,1851,20.6,1,1,2,1,0,0,3,0,1.4,1.4,1.6,3.0,51,41,110,0.05,0.05,0.10,0.05,0.10,0.07,0.08,0.14,0.07,0.14,da052c14
