Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
347,Ismaëlben Boura,fr FRA,DFFW,Lens,fr Ligue 1,22-217,2000,9,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26,62e02107
348,Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,31-224,1991,27,26,2088,23.2,0,2,2,0,0,0,3,0,1.1,1.1,3.2,4.2,26,86,24,0.00,0.09,0.09,0.00,0.09,0.05,0.14,0.18,0.05,0.18,0d077b88
349,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,29-064,1994,26,26,2108,23.4,3,5,8,2,1,1,4,1,4.1,3.4,7.7,11.0,27,180,198,0.13,0.21,0.34,0.09,0.30,0.18,0.33,0.50,0.14,0.47,20e73fac
350,Edoardo Bove,it ITA,MF,Roma,it Serie A,20-307,2002,13,3,332,3.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,7,4,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,ae94a6c5
351,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,26-089,1996,26,26,2330,25.9,4,2,6,3,1,2,2,0,6.9,5.8,4.7,10.5,73,52,165,0.15,0.08,0.23,0.12,0.19,0.26,0.18,0.45,0.22,0.41,79c84d1c
352,Lucas Boyé,ar ARG,FW,Elche,es La Liga,27-019,1996,23,19,1602,17.8,3,2,5,3,0,1,4,1,5.0,4.2,1.8,6.0,43,45,109,0.17,0.11,0.28,0.17,0.28,0.28,0.10,0.38,0.24,0.34,d49f3e6b
353,Jayden Braaf,nl NED,MFFW,Hellas Verona,it Serie A,20-200,2002,3,1,148,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,4,2,11,0.00,0.00,0.00,0.00,0.00,0.22,0.03,0.25,0.22,0.25,c609e90e
354,Domagoj Bradari?,hr CRO,DF,Salernitana,it Serie A,23-099,1999,22,16,1535,17.1,0,2,2,0,0,0,4,0,0.2,0.2,2.2,2.3,47,40,88,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14,8bbe2df5
355,Bilal Brahimi,dz ALG,FWMF,Nice,fr Ligue 1,23-005,2000,18,3,503,5.6,3,2,5,3,0,0,0,0,0.7,0.7,1.4,2.1,28,10,60,0.54,0.36,0.89,0.54,0.89,0.13,0.26,0.38,0.13,0.38,02bcaf8e
356,Martin Braithwaite,dk DEN,FWMF,Espanyol,es La Liga,31-287,1991,21,21,1724,19.2,8,1,9,8,0,0,3,1,6.3,6.3,1.0,7.3,20,34,86,0.42,0.05,0.47,0.42,0.47,0.33,0.05,0.38,0.33,0.38,fd771f95
357,Juan Brandáriz,es ESP,DF,Almería,es La Liga,24-017,1999,15,10,1017,11.3,1,0,1,1,0,0,4,0,0.4,0.4,0.0,0.4,11,24,9,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03,2475cf9b
358,Julian Brandt,de GER,MFFW,Dortmund,de Bundesliga,26-321,1996,23,20,1757,19.5,8,4,12,8,0,0,2,0,3.6,3.6,6.4,10.1,45,81,158,0.41,0.20,0.61,0.41,0.61,0.19,0.33,0.51,0.19,0.51,a167537f
359,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31-035,1992,23,8,959,10.7,1,1,2,1,0,0,4,0,0.8,0.8,0.7,1.5,15,40,32,0.09,0.09,0.19,0.09,0.19,0.07,0.07,0.14,0.07,0.14,4accb7e0
360,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23-137,1999,25,24,2103,23.4,0,0,0,0,0,0,4,0,0.5,0.5,0.9,1.4,19,83,29,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,5b146df3
361,Claudio Bravo,cl CHI,GK,Betis,es La Liga,39-340,1983,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10072610
362,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28-017,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,d28339cb
363,James Bree,eng ENG,DF,Southampton,eng Premier League,25-159,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,c07b7c5c
364,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,24-269,1998,2,0,64,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,2,6,7,0.00,0.00,0.00,0.00,0.00,0.03,0.33,0.36,0.03,0.36,d4a2533d
365,Josip Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,24-269,1998,6,3,271,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,9,13,17,0.00,0.33,0.33,0.00,0.33,0.03,0.14,0.17,0.03,0.17,d4a2533d
366,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26-001,1997,22,22,1926,21.4,3,1,4,3,0,0,5,0,2.9,2.9,1.0,3.9,6,31,2,0.14,0.05,0.19,0.14,0.19,0.14,0.05,0.18,0.14,0.18,5fd5ed86
367,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21-190,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,97220da2
368,Dylan Bronn,tn TUN,DF,Salernitana,it Serie A,27-273,1995,20,16,1425,15.8,0,0,0,0,0,0,3,1,0.7,0.7,0.4,1.0,9,65,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,edd81e2a
369,David Brooks,wls WAL,DF,Bournemouth,eng Premier League,25-254,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dc4cae05
370,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30-050,1993,6,6,540,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,1,16,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,e27da244
371,Moritz Broschinski,de GER,FWMF,Bochum,de Bundesliga,22-177,2000,5,0,100,1.1,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,5,1,11,0.90,0.00,0.90,0.90,0.90,0.37,0.00,0.37,0.37,0.37,bbd79358
372,Marcelo Brozovi?,hr CRO,MF,Inter,it Serie A,30-123,1992,16,10,923,10.3,2,0,2,2,0,0,5,0,1.8,1.8,0.3,2.1,14,56,17,0.20,0.00,0.20,0.20,0.20,0.17,0.03,0.21,0.17,0.21,33b8d077
373,Cédric Brunner,ch SUI,DF,Schalke 04,de Bundesliga,29-030,1994,21,21,1762,19.6,0,0,0,0,0,0,3,0,0.2,0.2,1.2,1.4,23,62,18,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,f0a37d36
374,Lewis Brunt,eng ENG,DF,Leicester City,eng Premier League,22-133,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,a2081c6b
375,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,24-181,1998,11,3,294,3.3,1,0,1,1,0,0,0,0,1.2,1.2,0.3,1.5,9,4,23,0.31,0.00,0.31,0.31,0.31,0.38,0.10,0.47,0.38,0.47,4e204552
376,Andreas Bruus,dk DEN,DFFW,Troyes,fr Ligue 1,24-062,1999,19,14,1273,14.1,0,2,2,0,0,0,2,0,0.4,0.4,1.6,1.9,38,33,93,0.00,0.14,0.14,0.00,0.14,0.03,0.11,0.14,0.03,0.14,b088d5d3
377,Bryan,es ESP,MFFW,Tottenham,eng Premier League,22-036,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17,7b5ab7f2
378,Bryan,es ESP,DFMF,Sevilla,es La Liga,22-036,2001,6,2,271,3.0,1,1,2,1,0,0,1,0,1.4,1.4,0.3,1.7,9,9,27,0.33,0.33,0.66,0.33,0.66,0.46,0.10,0.55,0.46,0.55,7b5ab7f2
379,Joe Bryan,eng ENG,MFDF,Nice,fr Ligue 1,29-183,1993,5,2,166,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,2,8,15,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,af69e7f0
380,Lee Buchanan,eng ENG,DFFW,Werder Bremen,de Bundesliga,22-012,2001,16,1,328,3.6,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.8,8,18,18,0.27,0.00,0.27,0.27,0.27,0.07,0.15,0.21,0.07,0.21,45e95f21
381,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,31-240,1991,20,14,1103,12.3,2,0,2,2,0,0,2,0,3.6,3.6,0.6,4.2,14,12,67,0.16,0.00,0.16,0.16,0.16,0.29,0.05,0.34,0.29,0.34,8f3565b3
382,Emi Buendía,ar ARG,MFFW,Aston Villa,eng Premier League,26-084,1996,27,18,1633,18.1,5,0,5,5,0,0,0,0,4.7,4.7,3.5,8.2,40,102,92,0.28,0.00,0.28,0.28,0.28,0.26,0.19,0.45,0.26,0.45,66b76d44
383,Hugo Bueno,es ESP,DF,Wolves,eng Premier League,20-182,2002,15,13,1040,11.6,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,43,31,52,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.07,0.02,0.07,bfc3b3a0
384,Santiago Bueno,uy URU,DF,Girona,es La Liga,24-130,1998,25,25,2237,24.9,0,1,1,0,0,0,6,1,1.2,1.2,1.1,2.3,14,107,2,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.09,0.05,0.09,edc98fac
385,Adam Buksa,pl POL,FWMF,Lens,fr Ligue 1,26-250,1996,4,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3b676989
386,Marius Bülter,de GER,FWMF,Schalke 04,de Bundesliga,29-355,1993,25,22,1921,21.3,7,1,8,4,3,3,4,0,5.9,3.6,3.3,6.9,55,60,141,0.33,0.05,0.37,0.19,0.23,0.28,0.16,0.43,0.17,0.32,ab5b7dc1
387,Cristian Buonaiuto,it ITA,MFFW,Cremonese,it Serie A,30-080,1992,19,3,591,6.6,0,0,0,0,0,0,2,0,1.7,1.7,1.4,3.1,16,26,53,0.00,0.00,0.00,0.00,0.00,0.26,0.21,0.47,0.26,0.47,f3a9fa26
388,Facundo Buonanotte,ar ARG,FWMF,Brighton,eng Premier League,18-086,2004,3,0,50,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,2,1,2,0.00,1.80,1.80,0.00,1.80,0.25,0.21,0.46,0.25,0.46,468a7a91
389,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,23-286,1999,22,19,1706,19.0,0,1,1,0,0,0,8,0,1.2,1.2,1.1,2.3,8,52,14,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12,4ae67f27
390,Delano Burgzorg,nl NED,FWMF,Mainz 05,de Bundesliga,24-132,1998,10,0,211,2.3,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.2,1,3,20,0.00,0.43,0.43,0.00,0.43,0.07,0.02,0.09,0.07,0.09,05e2d5ea
391,Jonathan Burkardt,de GER,MFFW,Mainz 05,de Bundesliga,22-251,2000,11,7,533,5.9,1,2,3,1,0,1,2,0,3.0,2.2,1.1,3.3,9,14,46,0.17,0.34,0.51,0.17,0.51,0.50,0.18,0.68,0.37,0.55,05f99a4a
392,Oliver Burke,sct SCO,FWMF,Werder Bremen,de Bundesliga,25-346,1997,15,1,268,3.0,2,0,2,2,0,0,0,0,1.0,1.0,0.3,1.3,11,7,36,0.67,0.00,0.67,0.67,0.67,0.35,0.09,0.44,0.35,0.44,f631c17f
393,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,30-314,1992,26,25,2210,24.6,0,0,0,0,0,0,4,0,1.1,1.1,1.1,2.2,18,76,31,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,b2d31e83
394,Maxime Busi,be BEL,DF,Reims,fr Ligue 1,23-156,1999,11,7,637,7.1,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,15,23,25,0.00,0.14,0.14,0.00,0.14,0.01,0.06,0.07,0.01,0.07,7b082ec2
395,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,34-246,1988,21,19,1557,17.3,0,3,3,0,0,0,6,1,0.3,0.3,1.4,1.7,11,142,22,0.00,0.17,0.17,0.00,0.17,0.02,0.08,0.10,0.02,0.10,5ab0ea87
396,Aurélio Buta,pt POR,DF,Eint Frankfurt,de Bundesliga,26-037,1997,8,5,497,5.5,2,2,4,2,0,0,1,0,0.2,0.2,0.6,0.7,15,18,26,0.36,0.36,0.72,0.36,0.72,0.03,0.10,0.14,0.03,0.14,b4705807
397,Marcin Bu?ka,pl POL,GK,Nice,fr Ligue 1,23-166,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,db87a2c4
398,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,de Bundesliga,18-223,2004,13,4,489,5.4,3,1,4,3,0,0,0,0,2.1,2.1,0.7,2.8,22,9,35,0.55,0.18,0.74,0.55,0.74,0.38,0.13,0.51,0.38,0.51,10745192
399,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,22-070,2001,5,0,147,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,ef6eef89
400,Rémy Cabella,fr FRA,MFFW,Lille,fr Ligue 1,33-011,1990,22,19,1722,19.1,4,6,10,4,0,0,3,0,4.6,4.6,6.8,11.4,82,166,156,0.21,0.31,0.52,0.21,0.52,0.24,0.35,0.59,0.24,0.59,148e136f
401,Jimmy Cabot,fr FRA,DFMF,Lens,fr Ligue 1,28-335,1994,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26,29,65,0.00,0.18,0.18,0.00,0.18,0.05,0.37,0.43,0.05,0.43,46359159
402,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-275,1991,23,22,1872,20.8,0,0,0,0,0,0,7,2,1.9,1.9,0.8,2.7,10,59,4,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,69cbc8b6
403,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-173,2000,8,3,387,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,20,32,24,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,dd86e8e4
404,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-261,1997,21,15,1351,15.0,2,1,3,2,0,0,1,0,0.5,0.5,1.7,2.2,12,61,29,0.13,0.07,0.20,0.13,0.20,0.03,0.11,0.15,0.03,0.15,0118c54c
405,Cafú,pt POR,MF,Nott'ham Forest,eng Premier League,30-021,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85322440
406,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,21-137,2001,24,23,2089,23.2,1,1,2,1,0,0,8,0,1.1,1.1,1.5,2.6,21,148,33,0.04,0.04,0.09,0.04,0.09,0.05,0.06,0.11,0.05,0.11,16264a81
407,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32-058,1991,22,1,471,5.2,0,0,0,0,0,0,1,0,0.6,0.6,1.2,1.9,21,50,26,0.00,0.00,0.00,0.00,0.00,0.12,0.24,0.36,0.12,0.36,a8748947
408,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,23-221,1999,21,8,986,11.0,3,1,4,3,0,0,7,1,1.2,1.2,0.9,2.1,27,63,17,0.27,0.09,0.37,0.27,0.37,0.11,0.08,0.19,0.11,0.19,928a4a61
409,Cala,es ESP,DF,Cádiz,es La Liga,33-113,1989,3,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,fe05804b
410,Davide Calabria,it ITA,DF,Milan,it Serie A,26-103,1996,15,13,1015,11.3,1,2,3,1,0,0,4,0,0.9,0.9,0.7,1.7,15,56,44,0.09,0.18,0.27,0.09,0.27,0.08,0.07,0.15,0.08,0.15,2146785a
411,Mattia Caldara,it ITA,DF,Spezia,it Serie A,28-318,1994,18,12,1162,12.9,0,0,0,0,0,0,6,0,0.6,0.6,0.0,0.6,5,30,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,ac7e640b
412,Luca Caldirola,it ITA,DF,Monza,it Serie A,32-046,1991,22,19,1657,18.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,10,50,12,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,226008f1
413,Fernando Calero,es ESP,DFMF,Espanyol,es La Liga,27-186,1995,18,15,1223,13.6,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,5,46,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,41b3069f
414,Duje ?aleta-Car,hr CRO,DF,Southampton,eng Premier League,26-183,1996,10,7,716,8.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,23,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,94f8d10c
415,Duje ?aleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-183,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94f8d10c
416,Hakan Çalhano?lu,tr TUR,MF,Inter,it Serie A,29-039,1994,25,22,1834,20.4,2,5,7,1,1,1,2,0,2.4,1.6,3.7,5.3,31,135,44,0.10,0.25,0.34,0.05,0.29,0.12,0.18,0.30,0.08,0.26,cd0fa27b
417,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,20-205,2002,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,3,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.27,0.04,0.27,d1db4b83
418,Daniel Caligiuri,it ITA,DFMF,Augsburg,de Bundesliga,35-063,1988,12,2,264,2.9,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,7,11,7,0.34,0.00,0.34,0.34,0.34,0.13,0.13,0.26,0.13,0.26,d1273f09
419,Alexander Callens,pe PER,DF,Girona,es La Liga,30-319,1992,2,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,af34f10d
420,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26-003,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,3.3,11,8,30,0.12,0.00,0.12,0.12,0.12,0.36,0.04,0.40,0.36,0.40,59e6e5bf
421,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,24-262,1998,20,17,1381,15.3,0,0,0,0,0,0,2,1,1.4,1.4,0.3,1.6,21,53,34,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.10,0.09,0.10,8577e60a
422,Mohamed Camara,gn GUI,MF,Roma,it Serie A,26-019,1997,10,5,412,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,10,20,9,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.13,0.07,0.13,13ea2544
423,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23-072,2000,19,17,1473,16.4,0,2,2,0,0,0,4,1,0.8,0.8,1.5,2.3,21,91,12,0.00,0.12,0.12,0.00,0.12,0.05,0.09,0.14,0.05,0.14,489e80e3
424,Ousmane Camara,gn GUI,FWMF,Auxerre,fr Ligue 1,21-136,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,2,1,0.00,0.00,0.00,0.00,0.00,0.19,0.83,1.01,0.19,1.01,5a6b06cd
425,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-013,2003,7,5,418,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,7d3dfdfd
426,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,es La Liga,20-129,2002,25,13,1274,14.2,0,1,1,0,0,0,4,0,0.7,0.7,1.1,1.9,45,107,65,0.00,0.07,0.07,0.00,0.07,0.05,0.08,0.13,0.05,0.13,7b9c2d84
427,Nicolò Cambiaghi,it ITA,FWMF,Empoli,it Serie A,22-081,2000,17,4,578,6.4,3,1,4,3,0,0,1,0,2.1,2.1,0.4,2.6,31,25,47,0.47,0.16,0.62,0.47,0.62,0.33,0.07,0.40,0.33,0.40,91ff775f
428,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-027,2000,25,19,1620,18.0,0,2,2,0,0,0,2,0,0.6,0.6,1.6,2.2,52,61,70,0.00,0.11,0.11,0.00,0.11,0.03,0.09,0.12,0.03,0.12,247ed022
429,Axel Camblan,fr FRA,FWMF,Brest,fr Ligue 1,19-201,2003,7,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.17,0.39,0.22,0.39,9f4a940f
430,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-037,2001,26,22,1829,20.3,5,4,9,5,0,0,1,0,5.6,5.6,2.1,7.6,30,29,92,0.25,0.20,0.44,0.25,0.44,0.27,0.10,0.38,0.27,0.38,873619c6
431,Chem Campbell,wls WAL,FWMF,Wolves,eng Premier League,20-079,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,6f711f67
432,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-066,1994,18,11,1090,12.1,1,1,2,1,0,0,5,0,0.5,0.5,0.4,0.8,15,49,8,0.08,0.08,0.17,0.08,0.17,0.04,0.03,0.07,0.04,0.07,a65ce836
433,Sergio Canales,es ESP,FWMF,Betis,es La Liga,32-031,1991,20,18,1557,17.3,4,2,6,3,1,1,4,1,3.8,3.0,3.7,6.7,51,97,95,0.23,0.12,0.35,0.17,0.29,0.22,0.21,0.43,0.17,0.38,a6de370d
434,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-035,2002,17,1,233,2.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,13,2,29,0.00,0.00,0.00,0.00,0.00,0.14,0.16,0.30,0.14,0.30,b6a1cdf9
435,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-296,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,72,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,bd6351cd
436,João Cancelo,pt POR,DFFW,Bayern Munich,de Bundesliga,28-296,1994,5,3,314,3.5,1,2,3,1,0,0,1,0,0.4,0.4,0.7,1.2,9,13,32,0.29,0.57,0.86,0.29,0.86,0.12,0.21,0.33,0.12,0.33,bd6351cd
437,Antonio Candreva,it ITA,DFMF,Salernitana,it Serie A,36-019,1987,26,24,2075,23.1,3,3,6,3,0,0,3,1,2.5,2.5,2.9,5.4,54,112,128,0.13,0.13,0.26,0.13,0.26,0.11,0.13,0.23,0.11,0.23,356c9002
438,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20-081,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27,4506aec5
439,Sergi Canós,es ESP,FWDF,Brentford,eng Premier League,26-045,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,1137759d
440,Ander Capa,es ESP,DFMF,Athletic Club,es La Liga,31-039,1992,4,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,37f1cf47
441,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,35-338,1987,21,12,1138,12.6,0,2,2,0,0,0,8,0,1.3,1.3,1.0,2.2,14,56,28,0.00,0.16,0.16,0.00,0.16,0.10,0.08,0.18,0.10,0.18,79b2399c
442,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,34-251,1988,19,17,1464,16.3,0,0,0,0,0,0,1,0,1.8,1.8,0.6,2.4,31,70,49,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,5acc4a10
443,Gianluca Caprari,it ITA,MFFW,Monza,it Serie A,29-232,1993,27,24,1807,20.1,4,2,6,3,1,1,4,0,4.5,3.7,1.7,5.4,74,58,142,0.20,0.10,0.30,0.15,0.25,0.22,0.09,0.31,0.18,0.27,54e53b7e
444,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,35-225,1987,15,13,1094,12.2,1,0,1,1,0,0,0,0,1.9,1.9,0.5,2.4,6,11,76,0.08,0.00,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19,5bd72174
445,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35-225,1987,12,11,963,10.7,1,4,5,1,0,0,1,0,2.9,2.9,1.3,4.2,9,12,77,0.09,0.37,0.47,0.09,0.47,0.27,0.13,0.40,0.27,0.40,5bd72174
446,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-032,2000,26,23,1970,21.9,1,5,6,1,0,0,2,0,1.9,1.9,3.6,5.6,28,134,87,0.05,0.23,0.27,0.05,0.27,0.09,0.17,0.25,0.09,0.25,f81ef10d
447,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-043,2001,4,1,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,9,2,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,f7e2af2c
448,Franco Carboni,it ITA,DF,Monza,it Serie A,19-349,2003,2,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,2,8,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,b033f803
