,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,score,Desempenho
266,783,784,Rodrigo Ely,BRA,DF,Almer�a,La Liga,29,1993,20,20,1715,19.1,0,0.63,0.05,8.3,0.0,0.0,14.7,0.05,0.0,0.0,35.7,43.9,81.3,782.5,299.6,8.53,9.58,89.1,21.0,23.0,91.4,5.92,10.6,55.9,0.0,0.16,1.52,0.16,0.0,1.47,43.9,41.7,2.15,2.09,0.05,0.47,0.1,0.05,0.0,0.0,0.0,0.0,35.7,0.1,0.26,0.58,0.26,0.05,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.52,0.47,0.21,0.0,0.47,0.68,69.2,0.21,1.1,0.84,0.26,1.05,1.73,5.5,0.0,54.6,9.69,33.6,19.8,1.52,0.79,54.6,0.16,0.1,66.7,0.05,33.3,27.4,106.6,60.9,0.26,0.31,0.05,0.58,0.0,31.9,0.16,0.26,0.05,0.05,0.84,0.31,0.1,0.1,0.52,0.0,0.0,0.05,4.24,2.36,0.52,81.8,97.28999999999999,Mediano
762,2389,2390,Jonathan Tah,GER,DF,Leverkusen,Bundesliga,27,1996,20,17,1493,16.6,1,0.42,0.12,28.6,0.14,0.5,9.0,0.0,0.0,0.0,51.6,57.9,89.1,955.1,336.7,19.0,20.2,94.0,28.1,30.4,92.5,4.28,6.39,67.0,0.0,0.3,1.87,0.0,0.0,1.81,57.9,56.3,1.51,1.02,0.0,0.12,0.18,0.06,0.0,0.0,0.0,0.0,51.6,0.06,0.3,0.66,0.6,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.6,0.9,0.24,0.0,0.6,0.84,71.4,0.24,0.84,0.42,0.42,1.27,2.41,4.52,0.0,67.2,8.31,34.5,31.3,1.75,0.78,67.2,0.12,0.12,100.0,0.0,0.0,35.5,183.6,88.6,0.18,0.18,0.0,0.12,0.54,45.7,0.18,0.24,0.0,0.0,0.48,0.18,0.12,0.18,0.6,0.0,0.0,0.0,5.36,1.87,1.39,57.4,97.28,Mediano
837,2603,2604,Silvan Widmer,SUI,DF,Mainz 05,Bundesliga,29,1993,16,14,1173,13.0,2,1.31,0.46,35.3,0.12,0.33,9.2,0.0,0.0,0.0,32.2,46.2,69.7,541.4,222.7,17.0,20.0,85.0,11.9,17.5,68.0,2.85,6.46,44.0,0.0,0.69,2.38,1.0,0.15,2.85,46.2,35.0,11.1,0.69,0.0,0.15,1.77,10.4,0.0,0.0,0.0,0.0,32.2,0.08,1.15,1.92,1.23,0.46,0.0,0.15,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.77,0.85,0.38,0.08,1.0,1.54,65.0,0.54,1.08,0.31,0.77,2.0,3.31,1.23,0.0,55.8,1.54,15.2,27.3,13.8,2.85,55.8,0.62,0.23,37.5,0.38,62.5,26.4,100.5,46.4,0.69,0.31,0.0,1.38,0.46,28.4,5.0,0.0,0.0,0.0,0.62,0.92,0.08,1.77,0.77,0.0,0.0,0.0,5.15,0.85,1.54,35.5,97.08,Mediano
522,1577,1578,Lucas Mart�nez Quarta,ARG,DF,Fiorentina,Serie A,26,1996,15,13,1181,13.1,1,1.22,0.61,50.0,0.06,0.13,12.9,0.0,0.0,0.0,55.1,66.6,82.8,1204.2,477.5,15.8,17.8,88.8,29.4,32.4,90.8,9.47,14.4,65.6,0.08,0.38,4.96,0.31,0.0,5.27,66.6,64.4,2.06,1.91,0.0,1.45,0.0,0.15,0.0,0.0,0.0,0.0,55.1,0.15,0.46,0.99,0.69,0.0,0.0,0.23,0.0,0.08,0.15,0.15,0.0,0.0,0.0,0.0,0.0,3.74,1.98,2.14,1.45,0.15,2.21,3.05,72.5,0.84,1.91,0.99,0.92,2.06,5.8,3.44,0.08,80.4,5.95,37.0,39.3,5.11,1.76,80.4,0.46,0.23,50.0,0.15,33.3,47.6,297.6,155.3,1.22,1.53,0.08,0.46,0.15,49.5,0.38,0.15,0.0,0.0,0.69,1.45,0.0,0.0,1.98,0.0,0.0,0.0,7.86,3.51,1.37,71.9,96.99000000000001,Mediano
127,393,394,Davide Calabria,ITA,DF,Milan,Serie A,26,1996,14,13,1000,11.1,1,0.63,0.09,14.3,0.14,1.0,21.1,0.0,0.0,0.0,52.8,66.0,79.9,933.1,341.4,22.4,24.1,93.3,23.9,27.4,87.2,5.32,11.7,45.4,0.18,0.81,3.24,0.99,0.72,4.86,66.0,54.8,10.9,0.9,0.0,0.18,2.61,9.55,0.45,0.0,0.45,0.0,52.8,0.36,1.17,1.62,1.44,0.09,0.0,0.0,0.09,0.0,0.27,0.18,0.0,0.0,0.0,0.09,0.0,4.5,2.34,2.07,1.89,0.54,2.52,3.87,65.1,1.35,1.26,0.36,0.9,1.53,6.04,1.8,0.0,77.1,3.78,24.4,38.4,15.3,0.81,77.1,0.72,0.09,12.5,0.45,62.5,38.5,172.4,103.1,1.35,1.35,0.09,0.54,0.27,46.0,3.87,0.36,0.0,0.0,0.9,0.81,0.09,2.61,2.34,0.09,0.09,0.0,6.13,0.45,0.63,41.7,96.91,Mediano
645,1999,2000,Stefan Posch,AUT,DF,Bologna,Serie A,25,1997,14,14,1228,13.6,4,0.88,0.51,58.3,0.33,0.57,13.5,0.0,0.0,0.0,42.4,58.4,72.5,739.5,343.8,19.9,23.2,85.8,17.8,21.8,81.5,3.6,9.56,37.7,0.07,0.96,3.75,1.1,0.22,5.22,58.4,48.2,10.1,0.74,0.22,0.29,1.99,9.34,0.0,0.0,0.0,0.0,42.4,0.15,1.84,1.76,1.47,0.15,0.07,0.0,0.07,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,3.01,1.84,1.62,1.03,0.37,1.54,2.28,67.7,0.74,1.69,0.51,1.18,1.69,4.71,2.94,0.0,71.0,4.63,28.2,31.6,12.1,1.25,71.0,0.81,0.15,18.2,0.59,72.7,32.5,166.3,87.4,1.4,1.47,0.15,1.47,0.44,40.1,2.21,0.07,0.0,0.0,1.32,0.74,0.07,1.99,1.84,0.0,0.0,0.0,4.85,0.96,0.88,52.0,96.85000000000001,Mediano
187,556,557,Vladim�r Coufal,CZE,DF,West Ham,Premier League,30,1992,16,14,1291,14.3,0,0.35,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,31.7,50.1,63.3,549.0,279.2,15.4,17.8,86.3,12.4,19.0,65.4,3.15,9.09,34.6,0.0,0.98,2.87,1.05,0.63,4.34,50.1,38.5,11.3,0.56,0.0,0.0,5.1,10.7,0.0,0.0,0.0,0.0,31.7,0.35,2.52,2.31,1.75,0.42,0.0,0.07,0.07,0.0,0.14,0.07,0.07,0.0,0.0,0.0,0.0,2.31,1.4,1.47,0.49,0.35,1.4,1.96,71.4,0.56,1.26,0.35,0.91,1.68,3.99,2.38,0.0,60.9,3.85,17.3,23.8,19.9,0.77,60.9,0.56,0.0,0.0,0.21,37.5,23.7,144.0,78.7,2.73,1.96,0.0,1.05,0.7,30.1,4.9,0.28,0.0,0.0,1.12,0.77,0.0,5.1,1.4,0.0,0.0,0.0,5.52,1.4,1.05,57.1,96.78,Mediano
337,985,986,Oumar Gonzalez,CMR,DF,Ajaccio,Ligue 1,24,1998,18,18,1576,17.5,0,0.4,0.06,14.3,0.0,0.0,11.8,0.0,0.0,0.0,32.3,39.1,82.5,633.0,177.3,9.03,11.3,79.8,19.3,20.8,92.6,3.37,6.0,56.2,0.0,0.06,1.09,0.0,0.0,2.23,39.1,37.7,1.43,1.43,0.06,0.06,0.11,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.91,1.2,0.46,0.17,1.03,1.49,69.2,0.46,1.09,0.34,0.74,1.71,3.54,2.4,0.0,48.3,4.63,23.6,23.0,2.17,0.97,48.3,0.63,0.17,27.3,0.23,36.4,31.3,178.1,84.1,0.46,0.23,0.06,0.69,0.46,26.9,0.17,0.4,0.0,0.0,1.26,1.66,0.11,0.11,0.91,0.0,0.0,0.0,5.66,1.89,1.94,49.3,96.69999999999999,Mediano
241,702,703,Djen�,TOG,DF,Getafe,La Liga,31,1991,18,18,1536,17.1,0,0.18,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,31.7,38.7,81.9,582.4,225.1,12.9,14.2,90.9,15.0,16.4,91.1,3.33,6.43,51.8,0.0,0.06,1.87,0.23,0.18,2.34,38.7,37.0,1.52,1.17,0.0,0.12,0.35,0.35,0.0,0.0,0.0,0.0,31.7,0.23,0.7,0.53,0.47,0.0,0.0,0.0,0.06,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.94,0.58,0.64,0.29,0.0,0.58,0.99,58.8,0.41,0.64,0.41,0.23,1.81,2.75,2.51,0.06,46.7,4.09,21.8,23.3,2.22,0.29,46.7,0.76,0.41,53.8,0.0,0.0,27.0,127.2,64.4,0.29,0.35,0.0,0.7,0.7,26.9,0.53,0.29,0.0,0.0,1.29,1.4,0.06,0.35,0.58,0.0,0.06,0.0,6.67,1.52,0.94,61.9,96.38,Mediano
243,704,705,Koffi Djidji,CIV,DF,Torino,Serie A,30,1992,19,17,1521,16.9,1,0.47,0.24,50.0,0.13,0.25,12.2,0.0,0.0,0.0,43.4,51.0,85.2,787.8,224.8,17.5,18.8,93.1,21.4,23.7,90.0,3.96,6.57,60.4,0.0,0.12,3.43,0.18,0.12,3.31,51.0,49.6,1.24,0.47,0.0,0.53,0.65,0.71,0.0,0.0,0.0,0.0,43.4,0.18,0.77,0.59,0.47,0.0,0.0,0.0,0.0,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.72,0.83,1.18,0.47,0.06,0.53,0.95,56.3,0.41,1.01,0.53,0.47,1.54,3.25,2.66,0.0,60.2,4.79,26.8,29.6,4.2,0.41,60.2,0.06,0.06,100.0,0.0,0.0,31.4,108.9,48.5,0.36,0.41,0.0,0.24,0.24,38.6,0.59,0.12,0.0,0.0,1.12,0.12,0.06,0.65,0.83,0.0,0.12,0.0,5.09,1.72,1.83,48.3,96.25999999999999,Mediano
