,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,score,Desempenho
792,2475,2476,Kieran Trippier,ENG,DF,Newcastle Utd,Premier League,32,1990,22,22,1954,21.7,1,0.37,0.09,25.0,0.13,0.5,28.1,0.37,0.0,0.0,52.2,73.1,71.4,996.8,437.2,22.9,26.1,87.5,19.6,26.0,75.4,8.8,17.5,50.4,0.18,3.0,4.56,2.76,0.92,6.36,73.1,53.8,18.9,5.12,0.46,0.28,10.4,8.53,5.3,1.94,2.21,0.51,52.2,0.37,1.34,4.93,2.17,2.58,0.0,0.05,0.09,0.05,0.32,0.28,0.05,0.0,0.0,0.0,0.0,2.17,1.52,1.2,0.92,0.05,1.38,2.53,54.5,1.15,1.2,0.55,0.65,1.2,3.36,1.98,0.0,81.6,2.95,19.5,34.2,28.3,0.74,81.6,0.97,0.41,42.9,0.37,38.1,33.5,108.7,54.1,0.97,0.97,0.05,0.65,0.18,41.7,4.38,0.23,0.0,0.0,1.15,0.83,0.23,10.4,1.52,0.0,0.05,0.0,6.96,1.38,0.97,58.8,126.65999999999998,Bom
322,940,941,Valentin Gendrey,FRA,DF,Lecce,Serie A,22,2000,22,20,1814,20.2,0,0.3,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,31.2,44.3,70.4,507.8,249.7,16.1,19.3,83.8,12.4,17.0,72.9,1.98,5.79,34.2,0.0,0.59,2.03,0.5,0.25,3.56,44.3,33.1,11.0,0.59,0.05,0.25,2.08,10.4,0.0,0.0,0.0,0.0,31.2,0.15,1.09,1.19,0.89,0.1,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,2.77,1.73,1.78,0.74,0.25,1.09,1.93,56.4,0.84,1.53,0.15,1.39,1.53,4.31,2.82,0.0,56.0,3.42,20.4,23.3,13.0,0.5,56.0,0.94,0.45,47.4,0.35,36.8,24.0,132.0,78.3,1.53,1.04,0.15,1.53,0.45,24.2,3.07,0.15,0.0,0.0,0.64,1.04,0.05,2.08,1.73,0.05,0.05,0.0,5.99,1.58,1.53,50.8,125.24000000000001,Bom
697,2172,2173,Mohammed Salisu,GHA,DF,Southampton,Premier League,23,1999,21,21,1889,21.0,0,0.76,0.19,25.0,0.0,0.0,12.1,0.0,0.0,0.0,40.4,55.0,73.4,745.1,339.6,16.4,18.8,87.1,19.7,25.0,79.0,4.05,9.57,42.3,0.05,0.33,3.76,0.33,0.19,3.81,55.0,49.4,5.33,1.19,0.05,0.48,0.62,4.14,0.0,0.0,0.0,0.0,40.4,0.29,0.57,1.1,0.76,0.24,0.05,0.05,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,2.38,1.33,1.57,0.71,0.1,1.14,1.52,75.0,0.38,2.52,1.05,1.48,1.43,3.81,5.52,0.05,68.9,9.81,34.4,29.1,5.76,1.05,68.9,0.43,0.33,77.8,0.1,22.2,33.3,154.7,69.6,0.24,0.52,0.0,0.24,0.43,34.8,0.19,0.24,0.0,0.0,1.19,0.14,0.05,0.62,1.33,0.0,0.0,0.05,7.24,2.57,1.24,67.5,123.27000000000001,Bom
0,1,2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,22.0,0,0.86,0.05,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7.0,53.9,0.05,0.27,2.91,0.09,0.0,4.5,47.2,43.3,3.73,3.32,0.0,0.55,0.18,0.09,0.0,0.0,0.0,0.0,38.5,0.23,0.59,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.45,1.0,0.05,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,0.0,1.32,0.5,0.05,0.18,1.59,0.0,0.0,0.0,6.64,2.18,1.23,64.0,121.95,Bom
669,2091,2092,Antonee Robinson,USA,DF,Fulham,Premier League,25,1997,20,20,1738,19.3,0,0.05,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,39.5,53.9,73.3,678.6,273.1,17.6,20.1,87.4,17.4,22.4,77.6,3.73,8.5,43.9,0.0,0.67,3.01,1.24,0.67,3.78,53.9,43.9,10.0,0.67,0.0,0.16,3.63,9.33,0.0,0.0,0.0,0.0,39.5,0.0,1.61,1.92,1.81,0.05,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.61,0.93,1.19,0.36,0.05,1.09,1.3,84.0,0.21,1.76,0.52,1.24,1.4,3.01,2.38,0.05,64.2,3.68,21.6,27.3,16.4,0.93,64.2,2.12,0.88,41.5,0.88,41.5,32.4,222.0,132.0,3.37,2.85,0.47,1.24,0.62,34.2,3.83,0.26,0.0,0.0,0.83,0.62,0.1,3.63,0.93,0.0,0.05,0.0,7.41,1.09,0.83,56.8,121.66999999999999,Bom
617,1900,1901,Fabiano Parisi,ITA,DF,Empoli,Serie A,22,2000,20,20,1690,18.8,2,0.74,0.11,14.3,0.14,1.0,22.5,0.0,0.0,0.0,38.0,50.2,75.7,611.3,298.8,20.1,22.4,89.8,14.2,18.8,75.4,2.82,5.74,49.1,0.0,0.8,2.98,1.38,0.48,4.47,50.2,39.7,10.2,1.22,0.05,0.21,1.76,8.94,0.05,0.05,0.0,0.0,38.0,0.27,1.38,1.97,1.44,0.11,0.05,0.11,0.21,0.05,0.21,0.21,0.0,0.0,0.0,0.0,0.0,2.07,1.12,1.22,0.59,0.27,1.06,1.76,60.6,0.69,1.44,0.59,0.85,1.17,3.24,2.93,0.0,64.2,5.05,23.4,27.1,15.1,0.69,64.2,3.24,1.54,47.5,1.28,39.3,33.1,207.8,119.0,2.93,2.18,0.27,1.76,1.22,33.6,1.97,0.27,0.05,0.0,0.96,2.29,0.0,1.76,1.12,0.0,0.05,0.0,7.29,0.64,0.37,63.2,121.63,Bom
467,1397,1398,Vincent Le Goff,FRA,DF,Lorient,Ligue 1,33,1989,22,22,1980,22.0,0,0.45,0.23,50.0,0.0,0.0,17.0,0.0,0.0,0.0,42.2,51.3,82.2,663.4,288.8,21.5,24.2,88.7,16.8,19.6,85.6,2.45,4.95,49.5,0.0,0.41,3.59,0.82,0.32,4.68,51.3,41.5,9.73,1.5,0.09,0.05,1.23,8.23,0.0,0.0,0.0,0.0,42.2,0.14,0.77,1.18,1.0,0.14,0.0,0.0,0.0,0.05,0.09,0.09,0.0,0.0,0.0,0.0,0.0,2.18,1.0,1.59,0.5,0.09,1.41,1.82,77.5,0.41,0.73,0.18,0.55,1.14,3.32,3.14,0.05,60.2,4.82,21.7,29.4,9.82,1.05,60.2,1.0,0.36,36.4,0.45,45.5,37.5,218.9,116.5,2.14,1.55,0.18,0.64,0.41,33.1,2.41,0.05,0.0,0.0,0.41,0.55,0.05,1.23,1.0,0.0,0.0,0.0,5.73,0.77,0.86,47.2,121.63,Bom
835,2595,2596,Mitchell Weiser,GER,DFFW,Werder Bremen,Bundesliga,28,1994,19,19,1636,18.2,1,1.04,0.38,36.8,0.05,0.14,17.3,0.0,0.0,0.0,33.7,46.7,72.1,556.9,250.9,17.6,20.9,84.0,12.1,16.6,73.2,3.02,5.44,55.6,0.38,1.32,3.52,1.54,0.38,4.62,46.7,35.9,10.7,0.27,0.33,0.44,2.25,10.4,0.0,0.0,0.0,0.0,33.7,0.16,1.76,2.97,2.31,0.16,0.11,0.11,0.27,0.0,0.66,0.49,0.05,0.0,0.05,0.05,0.0,2.75,1.7,1.32,1.1,0.33,1.21,2.31,52.4,1.1,1.81,0.16,1.65,1.32,4.07,1.37,0.0,64.2,2.14,13.4,31.3,20.7,2.58,64.2,4.12,1.1,26.7,2.25,54.7,31.8,145.2,62.5,1.54,1.48,0.49,3.52,1.48,34.2,5.77,0.27,0.0,0.0,1.26,2.2,0.11,2.25,1.7,0.05,0.0,0.0,7.03,0.99,1.1,47.4,121.09000000000002,Bom
755,2365,2366,Pascal Struijk,NED,DF,Leeds United,Premier League,23,1999,20,20,1677,18.6,2,0.7,0.32,46.2,0.15,0.33,12.3,0.0,0.0,0.0,45.4,57.5,78.9,646.7,293.4,26.6,30.1,88.4,15.6,19.7,79.2,1.77,4.03,44.0,0.05,0.65,4.14,0.65,0.16,5.38,57.5,44.9,12.4,0.81,0.0,0.11,0.91,11.6,0.0,0.0,0.0,0.0,45.4,0.27,1.29,1.51,1.13,0.16,0.0,0.16,0.0,0.05,0.11,0.0,0.0,0.0,0.11,0.0,0.0,3.39,2.37,1.67,1.29,0.43,1.83,2.96,61.8,1.13,1.34,0.38,0.97,1.4,4.78,2.63,0.0,69.9,3.28,20.5,31.1,18.5,1.34,69.9,0.97,0.48,50.0,0.38,38.9,29.2,110.8,58.4,1.18,1.13,0.05,1.24,0.48,34.7,2.42,0.22,0.0,0.0,1.34,0.59,0.0,0.91,2.37,0.0,0.05,0.0,5.38,2.37,1.83,56.4,120.94999999999999,Bom
239,699,700,Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,23,22,1980,22.0,2,0.64,0.14,21.4,0.14,0.67,15.4,0.0,0.0,0.05,43.1,51.6,83.5,883.7,341.4,13.5,15.3,88.7,23.2,26.0,89.3,5.68,8.73,65.1,0.14,0.36,5.5,0.41,0.14,5.14,51.6,49.2,2.32,1.45,0.0,0.82,0.5,0.86,0.0,0.0,0.0,0.0,43.1,0.05,0.36,0.77,0.73,0.0,0.0,0.0,0.0,0.05,0.23,0.23,0.0,0.0,0.0,0.0,0.0,1.05,0.68,0.41,0.45,0.18,0.59,0.95,61.9,0.36,1.55,0.86,0.68,1.77,2.82,3.32,0.05,61.1,6.36,22.2,35.2,4.5,1.18,61.1,0.36,0.18,50.0,0.18,50.0,42.8,301.5,177.6,1.59,1.27,0.09,0.5,0.36,38.8,0.41,0.09,0.0,0.0,0.73,0.32,0.0,0.5,0.68,0.0,0.0,0.0,6.18,2.27,1.0,69.4,120.67000000000002,Bom
656,2052,2053,Tim Ream,USA,DF,Fulham,Premier League,35,1987,23,23,2067,23.0,1,0.13,0.09,66.7,0.33,0.5,9.8,0.0,0.0,0.0,49.2,57.0,86.3,1075.5,375.2,11.5,13.2,87.1,28.8,31.0,93.0,8.48,11.9,71.4,0.0,0.04,3.7,0.0,0.0,3.52,57.0,55.2,1.65,1.09,0.0,0.87,0.17,0.35,0.0,0.0,0.0,0.0,49.2,0.09,0.13,0.83,0.78,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.48,0.39,0.13,0.3,0.7,43.8,0.39,1.39,0.83,0.57,1.52,2.52,3.39,0.0,65.7,9.13,34.3,29.7,2.13,0.52,65.7,0.43,0.3,70.0,0.04,10.0,40.1,228.9,155.6,0.78,0.35,0.0,0.52,0.13,42.6,0.04,0.09,0.0,0.0,0.48,0.26,0.04,0.17,0.52,0.0,0.0,0.0,6.26,1.26,0.78,61.7,120.64,Bom
794,2479,2480,Adrien Truffert,FRA,DF,Rennes,Ligue 1,21,2001,22,19,1591,17.7,0,0.4,0.11,28.6,0.0,0.0,20.9,0.0,0.0,0.0,50.5,63.2,79.9,791.1,231.0,24.9,28.3,88.0,22.1,28.2,78.6,2.26,3.84,58.8,0.34,0.68,3.22,0.73,0.4,4.07,63.2,52.1,11.0,0.79,0.0,0.11,1.36,10.2,0.0,0.0,0.0,0.0,50.5,0.11,1.64,2.03,1.64,0.06,0.11,0.11,0.11,0.0,0.45,0.4,0.06,0.0,0.0,0.0,0.0,2.6,1.41,1.41,0.79,0.4,1.47,1.98,74.3,0.51,1.47,0.4,1.07,1.07,3.67,2.71,0.0,75.0,2.99,18.1,37.3,20.1,1.19,75.0,1.86,0.68,36.4,0.9,48.5,49.0,271.7,122.0,2.54,2.49,0.4,1.07,0.79,44.6,7.57,0.06,0.0,0.0,0.9,1.24,0.11,1.36,1.41,0.0,0.0,0.0,5.59,1.64,1.19,58.0,119.99,Bom
88,277,278,Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22,2000,2,0,17,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,105.0,71.4,1265.0,630.0,30.0,35.0,85.7,40.0,50.0,80.0,5.0,15.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,105.0,95.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,10.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,125.0,10.0,95.0,25.0,5.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,50.0,380.0,305.0,10.0,5.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,25.0,10.0,0.0,100.0,119.0,Bom
270,798,799,Alfonso Espino,URU,DF,C�diz,La Liga,31,1992,21,20,1772,19.7,0,0.56,0.05,9.1,0.0,0.0,25.5,0.0,0.0,0.0,27.5,42.7,64.3,460.3,206.1,13.6,16.6,81.7,10.9,15.5,70.2,2.34,7.21,32.4,0.15,0.76,2.18,0.66,0.41,2.94,42.7,33.7,8.73,1.12,0.0,0.36,2.44,7.61,0.0,0.0,0.0,0.0,27.5,0.3,1.88,1.52,1.27,0.1,0.0,0.0,0.05,0.1,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.74,1.62,1.47,0.76,0.51,1.62,2.94,55.2,1.32,1.73,0.41,1.32,1.02,3.76,2.74,0.0,55.6,3.5,18.9,24.9,12.3,0.81,55.6,1.42,0.56,39.3,0.76,53.6,22.0,89.7,51.2,1.42,0.76,0.2,1.32,0.61,24.9,3.55,0.25,0.0,0.0,1.47,0.91,0.05,2.44,1.62,0.0,0.1,0.0,6.24,0.76,0.96,44.1,118.71999999999998,Bom
205,598,599,Dante,BRA,DF,Nice,Ligue 1,39,1983,22,22,1980,22.0,1,0.5,0.14,27.3,0.09,0.33,13.4,0.0,0.0,0.0,61.3,68.0,90.0,1192.5,462.5,21.3,22.6,94.2,32.3,34.0,95.2,6.73,9.91,67.9,0.05,0.18,3.23,0.18,0.0,3.14,68.0,65.4,2.5,2.05,0.09,0.41,0.0,0.09,0.0,0.0,0.0,0.0,61.3,0.18,0.32,0.59,0.5,0.0,0.0,0.09,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.59,1.0,0.95,0.5,0.14,0.59,1.14,52.0,0.55,1.68,0.95,0.73,1.5,3.09,3.59,0.05,78.3,10.1,40.2,37.0,1.36,0.68,78.3,0.23,0.05,20.0,0.18,80.0,59.9,283.1,134.5,0.27,0.09,0.0,0.41,0.27,55.5,0.05,0.18,0.0,0.0,0.86,0.41,0.0,0.0,1.0,0.0,0.0,0.0,6.64,1.68,0.82,67.3,118.69000000000003,Bom
679,2125,2126,Anthony Rouault,FRA,DF,Toulouse,Ligue 1,21,2001,22,22,1972,21.9,2,0.55,0.27,50.0,0.17,0.33,8.8,0.0,0.0,0.0,47.5,54.9,86.5,922.1,344.7,16.8,18.5,90.9,24.1,25.9,93.0,5.66,8.86,63.9,0.05,0.23,3.06,0.14,0.0,3.97,54.9,50.8,4.06,1.87,0.05,0.59,0.0,0.41,0.0,0.0,0.0,0.0,47.5,0.09,0.46,0.23,0.14,0.0,0.0,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,1.69,1.14,1.42,0.27,0.0,0.82,1.51,54.5,0.68,1.55,0.78,0.78,1.6,3.29,3.74,0.14,65.5,10.1,34.7,29.1,1.92,0.91,65.5,0.23,0.09,40.0,0.14,60.0,43.9,224.2,122.6,0.46,0.27,0.05,0.64,0.14,39.3,0.18,0.09,0.0,0.0,0.59,0.37,0.05,0.0,1.14,0.0,0.0,0.0,5.84,2.74,1.92,58.8,118.11999999999999,Bom
99,317,318,Neto Borges,BRA,DF,Clermont Foot,Ligue 1,26,1996,20,20,1711,19.0,2,0.84,0.16,18.8,0.13,0.67,15.4,0.0,0.0,0.0,36.2,46.8,77.3,572.0,227.9,17.9,20.8,86.3,15.5,20.1,77.4,1.84,3.32,55.6,0.0,1.11,1.89,1.63,0.63,3.26,46.8,38.1,8.58,0.53,0.16,0.0,2.79,8.05,0.0,0.0,0.0,0.0,36.2,0.16,1.26,2.58,2.32,0.05,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,1.58,1.74,0.74,0.16,1.42,2.37,60.0,0.95,1.32,0.37,0.95,1.47,4.11,2.11,0.0,59.5,2.89,17.4,25.1,17.9,2.21,59.5,3.0,1.42,47.4,1.37,45.6,37.3,215.1,99.8,1.74,1.47,0.21,1.32,0.68,33.4,5.79,0.16,0.05,0.05,0.63,1.63,0.16,2.79,1.58,0.0,0.05,0.0,5.47,1.05,0.63,62.5,117.69999999999999,Bom
58,175,176,Ridle Baku,GER,DF,Wolfsburg,Bundesliga,24,1998,20,19,1730,19.2,5,1.09,0.47,42.9,0.24,0.56,18.8,0.0,0.0,0.0,43.3,55.1,78.6,802.9,264.8,16.9,19.3,87.6,21.1,25.6,82.5,4.69,7.81,60.0,0.05,0.99,4.22,1.2,0.42,4.64,55.1,45.3,9.48,0.73,0.1,0.26,2.66,8.65,0.1,0.1,0.0,0.0,43.3,0.26,1.15,2.29,1.77,0.1,0.16,0.05,0.21,0.0,0.26,0.21,0.0,0.05,0.0,0.0,0.0,1.67,0.68,1.04,0.47,0.16,0.99,1.88,52.8,0.89,1.67,0.26,1.41,0.78,2.45,2.14,0.0,67.3,3.07,19.2,31.8,16.7,1.56,67.3,1.82,0.63,34.3,0.83,45.7,36.9,177.9,85.7,1.82,0.68,0.26,2.03,0.63,40.3,4.64,0.21,0.0,0.0,1.04,1.3,0.16,2.66,0.68,0.0,0.0,0.0,5.83,0.68,1.15,37.1,117.69,Bom
761,2388,2389,Nicol�s Tagliafico,ARG,DF,Lyon,Ligue 1,30,1992,20,20,1777,19.7,1,0.71,0.2,28.6,0.07,0.25,14.1,0.0,0.0,0.0,51.1,59.7,85.5,799.1,263.6,25.6,27.9,91.8,21.8,25.3,86.0,2.13,3.76,56.8,0.15,0.81,4.06,1.37,0.25,5.43,59.7,50.3,9.19,0.66,0.0,0.0,1.88,8.53,0.0,0.0,0.0,0.0,51.1,0.2,1.02,2.34,1.88,0.2,0.0,0.15,0.05,0.05,0.25,0.2,0.05,0.0,0.0,0.0,0.0,3.15,1.88,1.32,1.32,0.51,1.78,2.39,74.5,0.61,1.17,0.3,0.86,2.08,5.23,0.91,0.0,70.2,2.49,15.6,35.8,19.3,1.57,70.2,1.27,0.46,36.0,0.56,44.0,48.3,231.7,91.9,1.12,1.22,0.1,1.37,0.61,43.9,4.87,0.2,0.0,0.0,1.32,1.93,0.05,1.88,1.88,0.0,0.1,0.0,5.33,1.17,1.37,46.0,117.21,Bom
710,2229,2230,Nico Schlotterbeck,GER,DF,Dortmund,Bundesliga,23,1999,20,20,1734,19.3,3,0.67,0.21,30.8,0.23,0.75,18.7,0.0,0.0,0.0,64.6,75.6,85.5,1297.3,453.7,23.1,25.1,92.0,32.1,34.8,92.3,8.81,13.8,63.9,0.21,0.57,5.75,0.47,0.0,6.63,75.6,73.1,2.38,2.02,0.1,2.02,0.52,0.36,0.0,0.0,0.0,0.0,64.6,0.1,1.09,1.24,1.09,0.0,0.0,0.05,0.0,0.1,0.31,0.21,0.0,0.0,0.0,0.0,0.1,2.38,1.4,1.45,0.88,0.05,1.4,2.02,69.2,0.62,1.4,0.73,0.67,1.14,3.52,2.95,0.05,86.2,8.45,38.5,44.1,4.35,0.98,86.2,0.57,0.36,63.6,0.1,18.2,54.0,263.8,162.0,1.5,1.5,0.05,0.62,0.31,59.2,0.36,0.16,0.0,0.0,0.62,0.52,0.05,0.52,1.4,0.0,0.0,0.0,7.67,2.49,1.5,62.3,116.73,Bom
22,63,64,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,20,17,1441,16.0,1,1.31,0.19,14.3,0.05,0.33,22.5,0.19,0.0,0.0,64.9,88.9,73.1,1236.3,518.4,30.4,34.2,89.0,23.8,31.1,76.5,9.94,20.6,48.2,0.06,2.25,7.0,3.06,1.06,7.25,88.9,71.5,16.9,2.0,0.56,1.81,8.56,11.6,3.31,0.63,2.44,0.06,64.9,0.44,1.06,4.0,2.5,1.19,0.06,0.25,0.0,0.0,0.31,0.25,0.06,0.0,0.0,0.0,0.0,1.44,1.06,0.94,0.31,0.19,1.0,1.88,53.3,0.88,0.75,0.25,0.5,1.38,2.81,1.13,0.0,97.5,3.06,22.4,48.8,26.8,1.69,97.5,0.69,0.44,63.6,0.19,27.3,52.4,196.1,102.3,1.5,1.06,0.31,1.19,0.81,61.1,5.31,0.19,0.0,0.0,0.5,0.19,0.19,8.56,1.06,0.0,0.0,0.0,7.56,0.69,0.44,61.1,116.26,Bom
318,925,926,Francisco Garcia,ESP,DF,Rayo Vallecano,La Liga,23,1999,20,20,1787,19.9,0,0.9,0.3,33.3,0.0,0.0,29.2,0.0,0.0,0.0,45.5,56.7,80.2,744.7,229.0,22.5,24.7,91.0,19.0,22.7,83.6,2.96,6.03,49.2,0.1,0.75,3.92,0.65,0.5,4.32,56.7,46.0,10.5,0.45,0.0,0.2,4.32,10.1,0.0,0.0,0.0,0.0,45.5,0.15,1.66,1.96,1.26,0.25,0.1,0.05,0.1,0.2,0.3,0.15,0.05,0.05,0.0,0.05,0.0,1.91,1.16,1.26,0.4,0.25,1.36,2.31,58.7,0.95,1.01,0.1,0.9,1.31,3.22,1.41,0.0,66.5,2.46,15.7,30.7,21.0,0.8,66.5,1.71,0.6,35.3,0.9,52.9,38.3,294.4,195.8,5.98,4.47,0.4,1.21,0.3,39.9,4.97,0.0,0.0,0.0,0.65,0.65,0.15,4.32,1.16,0.0,0.1,0.0,5.68,0.2,0.55,26.7,116.00999999999999,Bom
311,906,907,Javi Gal�n,ESP,DF,Celta Vigo,La Liga,28,1994,20,19,1720,19.1,0,0.37,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,44.8,58.5,76.6,738.7,218.5,21.6,24.5,88.2,19.3,23.8,81.3,3.09,7.12,43.4,0.05,1.31,1.73,1.31,0.63,3.14,58.5,46.6,11.6,1.1,0.0,0.63,4.29,10.2,0.26,0.05,0.16,0.0,44.8,0.37,1.36,2.3,1.88,0.26,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.98,2.09,1.73,1.1,0.16,1.05,2.25,46.5,1.2,1.57,0.05,1.52,0.94,3.93,1.41,0.0,72.5,1.78,19.8,31.4,22.1,1.1,72.5,4.55,1.73,37.9,2.15,47.1,42.4,265.1,147.9,3.77,3.14,0.63,1.94,1.47,43.7,7.02,0.1,0.0,0.0,1.52,2.09,0.21,4.29,2.09,0.0,0.0,0.0,5.81,0.89,0.68,56.7,115.94999999999999,Bom
838,2604,2605,Mateusz Wieteska,POL,DF,Clermont Foot,Ligue 1,26,1997,23,23,2069,23.0,0,0.48,0.17,36.4,0.0,0.0,9.7,0.0,0.0,0.0,38.3,46.7,82.1,700.0,294.8,15.2,17.0,89.3,19.1,21.7,87.8,3.3,6.52,50.7,0.04,0.13,2.83,0.09,0.0,3.0,46.7,44.1,2.3,1.35,0.0,0.17,0.04,0.91,0.0,0.0,0.0,0.0,38.3,0.22,0.39,0.57,0.39,0.0,0.04,0.13,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,1.22,0.7,0.78,0.43,0.0,0.52,0.91,57.1,0.39,1.26,0.74,0.52,1.57,2.78,3.0,0.09,55.6,7.13,28.5,25.8,1.78,0.87,55.6,0.22,0.17,80.0,0.0,0.0,38.7,230.2,127.5,0.48,0.3,0.0,0.35,0.13,34.9,0.26,0.17,0.0,0.0,0.57,0.7,0.0,0.04,0.7,0.0,0.04,0.0,4.96,1.87,1.35,58.1,115.71999999999998,Bom
524,1580,1581,Adam Maru�i?,MNE,DF,Lazio,Serie A,30,1992,22,21,1918,21.3,0,0.52,0.28,54.5,0.0,0.0,25.1,0.0,0.0,0.0,52.0,60.2,86.4,788.5,317.2,29.2,31.6,92.4,17.8,20.5,87.0,3.38,5.45,62.1,0.05,0.23,3.33,0.23,0.14,3.76,60.2,52.0,8.08,1.08,0.0,0.33,0.47,7.0,0.0,0.0,0.0,0.0,52.0,0.09,0.42,1.13,0.85,0.14,0.0,0.05,0.0,0.09,0.09,0.05,0.0,0.0,0.05,0.0,0.0,1.27,0.89,0.66,0.42,0.19,0.52,0.89,57.9,0.38,0.61,0.14,0.47,1.17,2.44,2.11,0.0,67.0,3.0,25.9,33.1,8.54,0.56,67.0,0.47,0.23,50.0,0.14,30.0,35.5,163.0,88.9,1.46,1.17,0.14,0.52,0.38,43.7,1.27,0.19,0.0,0.0,0.7,0.52,0.0,0.47,0.89,0.0,0.0,0.0,5.77,1.08,0.75,59.0,115.66999999999999,Bom
539,1623,1624,Ben Mee,ENG,DF,Brentford,Premier League,33,1989,21,21,1838,20.4,3,0.74,0.2,26.7,0.2,0.75,9.5,0.0,0.0,0.0,37.0,49.4,74.9,705.6,288.5,13.9,16.5,84.2,18.1,21.9,82.6,4.56,9.17,49.7,0.0,0.15,1.72,0.2,0.0,1.72,49.4,45.1,4.02,1.13,0.0,0.29,0.25,2.84,0.0,0.0,0.0,0.0,37.0,0.25,0.59,0.54,0.39,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.64,0.39,0.0,0.44,0.93,47.4,0.49,1.72,1.37,0.34,1.37,2.4,3.48,0.05,59.7,8.28,31.9,23.8,4.22,1.86,59.7,0.1,0.1,100.0,0.0,0.0,31.4,117.8,52.7,0.1,0.25,0.1,0.59,0.05,32.1,0.34,0.05,0.0,0.0,0.49,0.49,0.05,0.25,0.54,0.0,0.0,0.0,5.64,3.82,2.21,63.4,115.53,Bom
