,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
606,2371,2372,Isaac Success,NGA,FW,Udinese,Serie A,27,1996,21,14,1278,14.2,0,1.62,0.14,8.7,0.0,0.0,15.7,0.0,0.0,0.0,19.4,30.2,64.3,279.2,54.4,11.1,15.6,71.2,4.65,7.11,65.3,1.83,2.89,63.4,0.28,1.2,1.13,0.85,0.07,2.54,30.2,29.2,0.49,0.0,0.49,0.49,0.63,0.0,0.0,0.0,0.0,0.0,19.4,0.49,0.99,3.66,2.54,0.0,0.14,0.07,0.85,0.07,0.42,0.35,0.0,0.0,0.0,0.07,0.0,0.49,0.21,0.14,0.28,0.07,0.21,0.35,60.0,0.14,0.56,0.14,0.42,0.21,0.7,0.99,0.0,42.9,1.13,2.61,17.8,22.6,5.14,42.9,2.46,0.77,31.4,1.55,62.9,29.4,122.3,38.9,1.48,1.06,0.56,4.44,2.25,38.5,10.8,0.21,0.0,0.0,1.83,4.08,0.56,0.63,0.21,0.0,0.0,0.0,2.25,2.04,2.39,46.0,0.0,86.54450000000001,Mediano
614,2407,2408,Mathys Tel,FRA,FW,Bayern Munich,Bundesliga,17,2005,12,1,252,2.8,3,4.64,2.14,46.2,0.23,0.5,16.7,0.0,0.0,0.0,34.6,42.1,82.2,498.9,70.0,20.4,22.9,89.1,12.9,15.4,83.7,1.07,1.07,100.0,0.0,1.43,1.79,1.07,0.36,2.86,42.1,41.4,0.71,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,34.6,0.0,1.07,2.86,2.14,0.0,0.36,0.36,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.36,1.43,0.0,0.0,0.36,0.0,63.2,1.07,3.21,28.6,31.8,7.14,63.2,7.5,2.5,33.3,4.29,57.1,43.2,246.4,96.1,3.21,2.14,1.43,6.43,3.21,50.7,12.1,0.71,0.0,0.0,1.79,1.79,0.71,0.36,0.0,0.0,0.0,0.0,4.29,2.86,2.5,53.3,0.25,86.441,Mediano
669,2625,2626,Chris Wood,NZL,FW,Newcastle Utd,Premier League,31,1991,18,4,446,5.0,2,1.6,0.6,37.5,0.13,0.33,14.7,0.0,0.2,0.2,13.2,21.2,62.3,157.2,29.8,8.0,13.4,59.7,3.2,5.0,64.0,0.8,1.0,80.0,0.0,0.6,0.6,0.2,0.0,0.8,21.2,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.2,1.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.6,0.4,0.6,1.0,60.0,0.4,0.4,0.4,0.0,0.2,1.2,1.4,0.0,29.8,1.6,3.8,14.0,12.0,3.2,29.6,0.4,0.2,50.0,0.0,0.0,10.4,31.8,12.4,0.2,0.2,0.0,2.4,1.0,20.2,4.6,0.0,0.0,0.0,0.8,0.8,0.6,0.0,0.8,0.0,0.0,0.0,3.4,4.6,4.6,50.0,0.1111111111111111,86.23,Mediano
643,2532,2533,Daniele Verde,ITA,FWMF,Spezia,Serie A,26,1996,12,5,476,5.3,2,2.64,0.75,28.6,0.07,0.25,24.9,0.0,0.19,0.19,20.2,33.4,60.5,331.7,112.6,9.62,13.8,69.9,8.49,12.5,68.2,1.7,5.47,31.0,0.0,1.51,0.75,0.75,0.0,2.45,33.4,24.9,8.11,1.7,0.0,0.19,5.47,0.94,4.15,1.89,1.89,0.0,20.2,0.38,0.38,4.15,2.26,1.32,0.0,0.0,0.19,0.38,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.75,0.75,0.38,0.0,41.5,1.13,5.09,16.6,20.2,1.7,41.3,1.13,0.57,50.0,0.38,33.3,22.1,125.8,50.4,1.32,0.57,0.38,1.13,1.32,24.0,4.91,0.19,0.0,0.0,0.38,1.89,0.19,5.47,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.16666666666666666,85.93999999999998,Mediano
300,1180,1181,Nicolas Jackson,SEN,FW,Villarreal,La Liga,21,2001,14,8,791,8.8,2,1.82,0.8,43.8,0.13,0.29,13.8,0.0,0.0,0.0,11.8,16.5,71.7,178.3,45.5,6.48,9.32,69.5,3.98,5.0,79.5,0.8,0.91,87.5,0.23,0.91,1.48,1.02,0.0,2.84,16.5,15.6,0.91,0.0,0.0,0.0,0.45,0.11,0.0,0.0,0.0,0.0,11.8,0.0,0.23,2.16,1.48,0.11,0.11,0.34,0.11,0.0,0.45,0.23,0.0,0.11,0.11,0.0,0.0,0.8,0.68,0.23,0.57,0.0,0.11,0.45,25.0,0.34,1.14,0.23,0.91,0.23,1.02,0.34,0.0,28.2,0.68,2.95,9.77,15.9,3.86,28.2,1.48,0.8,53.8,0.57,38.5,18.9,152.7,73.1,2.39,1.36,0.68,3.64,2.61,20.6,6.02,0.11,0.0,0.0,2.27,1.25,0.68,0.45,0.68,0.0,0.0,0.0,3.18,0.57,1.82,23.8,0.14285714285714285,85.82600000000001,Mediano
588,2283,2284,Luis Sinisterra,COL,FW,Leeds United,Premier League,23,1999,12,8,537,6.0,2,2.17,0.83,38.5,0.15,0.4,17.3,0.0,0.0,0.0,30.2,36.7,82.3,420.0,102.2,15.7,18.3,85.5,9.33,10.3,90.3,1.5,1.83,81.8,0.0,0.67,2.0,1.33,0.17,3.5,36.7,36.2,0.5,0.0,0.33,0.67,0.67,0.5,0.0,0.0,0.0,0.0,30.2,0.0,1.0,3.67,2.83,0.0,0.33,0.17,0.33,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.0,2.33,1.5,0.5,1.5,0.33,1.17,2.0,58.3,0.83,0.67,0.0,0.67,1.0,3.33,0.17,0.0,49.5,0.33,4.33,23.7,22.2,3.17,49.5,4.67,2.17,46.4,2.0,42.9,29.8,170.7,93.5,3.0,1.33,1.0,1.67,2.0,36.8,8.67,0.5,0.17,0.17,1.5,1.5,0.5,0.67,1.5,0.0,0.17,0.0,6.0,1.67,1.5,52.6,0.16666666666666666,85.82200000000002,Mediano
337,1290,1291,Kike,ESP,FW,Osasuna,La Liga,33,1989,20,3,552,6.1,2,3.77,1.15,30.4,0.04,0.14,15.7,0.0,0.16,0.16,13.9,19.7,70.8,171.3,19.7,9.51,11.5,82.9,3.11,4.92,63.3,0.16,0.49,33.3,0.0,0.98,0.66,0.82,0.0,1.8,19.7,18.9,0.66,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,13.9,0.16,0.49,2.79,1.97,0.0,0.0,0.16,0.66,0.0,0.33,0.0,0.0,0.0,0.16,0.16,0.0,0.33,0.33,0.0,0.16,0.16,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.16,0.49,0.98,0.0,34.6,1.15,1.8,14.4,18.5,5.74,34.4,1.31,0.66,50.0,0.49,37.5,21.8,94.8,29.2,1.48,1.15,0.49,5.25,1.64,28.5,4.92,0.49,0.0,0.0,2.79,2.3,0.66,0.16,0.33,0.33,0.0,0.0,2.95,4.43,5.57,44.3,0.1,85.58449999999999,Mediano
445,1742,1743,Luis Muriel,COL,FW,Atalanta,Serie A,31,1991,13,6,579,6.4,1,1.72,0.47,27.3,0.0,0.0,20.8,0.31,0.16,0.16,23.9,37.5,63.8,401.1,118.4,12.3,16.6,74.5,7.66,10.9,70.0,2.66,6.56,40.5,0.31,2.34,1.88,2.81,0.31,5.78,37.5,33.1,4.22,0.63,0.47,1.25,4.38,0.78,1.56,0.94,0.31,0.0,23.9,0.16,0.78,4.53,3.75,0.31,0.31,0.0,0.16,0.0,0.63,0.47,0.0,0.0,0.0,0.16,0.0,0.78,0.47,0.16,0.31,0.31,0.31,1.09,28.6,0.78,0.78,0.0,0.78,0.0,0.78,0.31,0.0,51.3,0.47,2.5,20.2,28.9,6.09,51.1,4.69,1.41,30.0,3.13,66.7,30.0,223.1,116.6,4.84,2.97,2.81,4.06,2.34,40.3,10.5,0.31,0.31,0.16,1.41,1.09,0.31,4.38,0.47,0.16,0.0,0.0,3.28,0.94,2.19,30.0,0.07692307692307693,85.3545,Mediano
591,2307,2308,Rub�n Sobrino,ESP,FWMF,C�diz,La Liga,30,1992,17,13,1178,13.1,1,1.3,0.61,47.1,0.06,0.13,12.9,0.0,0.0,0.0,15.9,20.9,75.9,200.5,47.3,9.08,11.5,78.8,4.89,5.42,90.1,0.38,0.76,50.0,0.08,0.76,0.92,0.0,0.0,0.76,20.9,20.5,0.46,0.0,0.0,0.0,0.46,0.31,0.0,0.0,0.0,0.0,15.9,0.0,1.07,1.6,1.15,0.0,0.0,0.15,0.23,0.08,0.23,0.23,0.0,0.0,0.0,0.0,0.0,1.22,0.69,0.38,0.53,0.31,0.23,0.76,30.0,0.53,0.92,0.08,0.84,0.69,1.91,0.92,0.0,32.2,1.6,7.25,13.8,11.7,2.9,32.2,1.76,0.46,26.1,1.15,65.2,19.0,123.7,58.2,1.76,1.45,0.53,1.98,1.76,20.5,2.75,0.38,0.0,0.0,2.21,1.91,0.38,0.46,0.69,0.0,0.0,0.0,5.27,1.6,2.29,41.2,0.058823529411764705,85.21549999999999,Mediano
399,1565,1566,Anthony Martial,FRA,FW,Manchester Utd,Premier League,27,1995,9,6,458,5.1,3,2.16,0.98,45.5,0.18,0.4,12.9,0.0,0.2,0.2,21.0,26.1,80.5,258.0,80.2,13.7,15.3,89.7,5.49,6.47,84.8,0.39,1.18,33.3,0.39,0.98,1.76,0.78,0.0,2.94,26.1,23.9,1.76,0.39,0.39,0.0,0.59,0.39,0.0,0.0,0.0,0.0,21.0,0.39,1.18,1.76,1.37,0.0,0.2,0.0,0.2,0.0,0.78,0.39,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.59,0.0,0.59,0.2,0.2,0.39,0.0,33.9,0.59,0.98,13.7,19.2,4.51,33.7,1.76,0.78,44.4,0.78,44.4,21.0,84.5,40.6,1.37,0.98,0.78,2.94,0.78,28.4,5.49,0.0,0.0,0.0,0.78,0.59,0.59,0.59,0.0,0.2,0.0,0.0,0.98,0.98,0.59,62.5,0.3333333333333333,85.06850000000001,Mediano
