,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
637,1780,1781,Neymar,BRA,MFFW,Paris S-G,Ligue 1,31,1992,19,17,1495,16.6,12,2.05,1.02,50.0,0.29,0.59,17.0,0.36,0.12,0.12,59.8,74.6,80.1,863.9,317.2,33.6,39.2,85.8,17.5,21.1,82.9,4.04,7.17,56.3,0.6,2.83,7.95,2.77,0.12,9.1,74.6,67.8,6.27,1.93,1.39,0.48,3.25,0.72,3.13,1.57,0.48,0.0,59.8,0.54,1.51,6.2,4.4,0.72,0.12,0.36,0.6,0.0,0.9,0.6,0.18,0.0,0.06,0.06,0.0,1.33,0.84,0.36,0.54,0.42,0.54,1.14,47.4,0.6,0.42,0.06,0.36,0.18,1.51,0.06,0.06,86.8,0.18,7.05,46.0,35.0,4.28,86.7,5.6,2.17,38.7,2.71,48.4,75.4,443.9,197.8,4.1,4.46,0.72,3.01,2.17,74.4,7.53,0.36,0.06,0.06,1.51,3.8,0.3,3.25,0.84,0.06,0.0,0.0,3.55,0.06,0.12,33.3,0.631578947368421,144.23,Excelente
624,1748,1749,Jamal Musiala,GER,MFFW,Bayern Munich,Bundesliga,19,2003,19,17,1360,15.1,10,2.65,1.19,45.0,0.25,0.56,14.7,0.0,0.0,0.0,33.6,40.7,82.4,465.1,99.0,20.3,23.3,87.2,10.7,12.1,88.0,1.06,1.85,57.1,0.46,2.12,2.38,1.26,0.0,4.37,40.7,39.9,0.66,0.0,0.07,0.13,0.33,0.26,0.0,0.0,0.0,0.0,33.6,0.2,0.93,4.7,3.71,0.0,0.6,0.33,0.07,0.0,0.99,0.73,0.0,0.2,0.07,0.0,0.0,1.52,0.99,0.46,0.73,0.33,0.46,0.93,50.0,0.46,1.06,0.07,0.99,0.79,2.32,0.2,0.0,55.0,0.79,5.89,26.4,23.6,6.16,55.0,4.7,2.25,47.9,2.12,45.1,40.3,218.1,98.5,2.85,2.25,1.32,3.18,3.18,43.0,8.48,0.07,0.0,0.0,0.73,1.52,0.07,0.33,0.99,0.0,0.0,0.0,5.56,0.6,0.53,52.9,0.5263157894736842,132.92,Excelente
592,1650,1651,Lionel Messi,ARG,MFFW,Paris S-G,Ligue 1,35,1987,18,18,1577,17.5,10,4.57,1.94,42.5,0.13,0.29,17.8,0.74,0.0,0.0,53.3,66.5,80.1,830.5,299.4,29.1,33.3,87.5,15.9,19.3,82.8,5.31,7.83,67.9,0.57,2.57,7.6,4.69,0.06,10.5,66.5,61.6,3.77,0.91,2.0,0.34,2.63,0.11,2.46,0.97,1.03,0.0,53.3,1.09,1.83,6.46,4.23,0.69,0.57,0.46,0.4,0.11,1.26,0.97,0.0,0.17,0.06,0.06,0.0,0.97,0.74,0.06,0.46,0.46,0.4,0.86,46.7,0.46,0.4,0.0,0.4,0.0,0.97,0.0,0.0,78.3,0.17,2.8,38.0,38.3,5.94,78.3,6.29,3.37,53.6,2.4,38.2,67.8,388.0,176.5,3.94,4.29,1.26,1.43,2.46,67.9,8.17,0.0,0.0,0.0,0.17,1.54,0.29,2.63,0.74,0.0,0.0,0.0,2.34,0.0,0.17,0.0,0.5555555555555556,122.04000000000002,Excelente
977,2686,2687,Martin �degaard,NOR,MF,Arsenal,Premier League,24,1998,20,20,1684,18.7,8,2.73,0.86,31.4,0.16,0.5,18.9,0.27,0.0,0.0,38.3,48.4,79.1,595.1,181.2,19.7,22.5,87.4,13.5,17.0,79.8,3.21,4.97,64.5,0.27,2.3,3.53,2.51,0.11,7.54,48.4,44.7,3.53,2.62,0.8,0.21,2.51,0.32,0.59,0.21,0.21,0.05,38.3,0.16,1.23,5.08,3.53,0.7,0.11,0.48,0.16,0.11,0.64,0.53,0.0,0.0,0.11,0.0,0.0,1.02,0.7,0.37,0.48,0.16,0.21,0.91,23.5,0.7,0.48,0.11,0.37,0.16,1.18,0.37,0.0,56.8,0.86,5.61,23.7,28.2,4.06,56.8,2.25,1.28,57.1,0.8,35.7,33.0,183.0,83.9,2.78,1.71,0.96,1.23,1.5,40.5,5.08,0.16,0.0,0.0,1.02,0.8,0.05,2.51,0.7,0.0,0.0,0.0,5.19,0.48,0.7,40.9,0.4,119.89999999999998,Excelente
794,2187,2188,Oihan Sancet,ESP,MF,Athletic Club,La Liga,22,2000,21,19,1415,15.7,8,2.04,0.7,34.4,0.22,0.64,18.0,0.0,0.06,0.06,28.5,34.4,83.0,416.4,106.9,16.8,18.7,90.1,9.11,10.7,85.1,1.59,2.17,73.5,0.0,1.34,3.06,0.89,0.0,5.1,34.4,33.2,0.76,0.45,0.13,0.0,0.38,0.0,0.13,0.0,0.06,0.0,28.5,0.38,0.64,2.87,2.42,0.06,0.06,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.51,0.06,0.64,0.25,0.32,1.21,26.3,0.89,0.45,0.0,0.45,0.19,1.15,0.32,0.0,45.2,0.64,4.08,23.1,18.9,2.8,45.1,2.42,1.27,52.6,0.83,34.2,30.3,189.9,101.9,3.25,2.23,0.57,2.8,2.1,34.3,5.29,0.13,0.0,0.0,1.4,2.04,0.06,0.38,0.51,0.0,0.0,0.0,5.61,0.83,0.64,56.5,0.38095238095238093,119.0,Excelente
363,1015,1016,Pascal Gro�,GER,MFDF,Brighton,Premier League,31,1991,21,21,1821,20.2,6,1.04,0.5,47.6,0.29,0.6,16.0,0.0,0.0,0.0,47.1,61.4,76.7,769.4,223.5,24.0,26.7,89.8,18.2,22.2,81.7,3.61,8.91,40.6,0.15,2.08,4.01,1.49,0.15,7.03,61.4,51.4,9.75,2.43,0.3,0.79,6.68,2.33,4.01,2.13,1.39,0.1,47.1,0.25,1.53,3.71,2.38,1.14,0.0,0.15,0.0,0.05,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.73,0.89,0.69,0.79,0.25,0.74,1.53,48.4,0.79,0.94,0.25,0.69,0.5,2.23,0.45,0.0,68.9,1.68,11.5,30.5,27.2,2.82,68.9,0.79,0.3,37.5,0.4,50.0,38.0,168.6,75.3,1.39,1.14,0.05,1.24,0.54,47.0,5.99,0.1,0.0,0.0,0.84,0.5,0.35,6.68,0.89,0.0,0.05,0.0,3.56,0.15,1.14,11.5,0.2857142857142857,116.13999999999999,Excelente
76,202,203,Harvey Barnes,ENG,MFFW,Leicester City,Premier League,25,1997,20,20,1696,18.8,8,2.5,1.22,48.9,0.17,0.35,16.1,0.0,0.0,0.0,18.4,25.9,71.0,236.2,68.2,11.9,15.1,78.9,4.52,6.76,66.9,0.74,1.44,51.9,0.05,0.59,1.22,1.12,0.16,2.29,25.9,25.2,0.53,0.0,0.16,0.05,1.22,0.43,0.0,0.0,0.0,0.0,18.4,0.11,0.9,1.97,1.44,0.0,0.0,0.27,0.21,0.05,0.53,0.32,0.0,0.0,0.11,0.05,0.05,0.85,0.59,0.37,0.37,0.11,0.48,1.28,37.5,0.8,0.96,0.0,0.96,0.27,1.12,0.32,0.0,38.6,0.43,3.99,14.4,20.7,4.41,38.6,2.93,0.64,21.8,1.81,61.8,24.7,173.5,87.8,3.09,2.55,1.6,2.98,1.6,30.9,9.04,0.05,0.0,0.0,1.38,1.22,0.27,1.22,0.59,0.0,0.0,0.0,3.03,1.01,1.91,34.5,0.4,114.32,Excelente
804,2212,2213,T�ji Savanier,FRA,MF,Montpellier,Ligue 1,31,1991,18,18,1559,17.3,7,1.79,0.69,38.7,0.13,0.33,27.4,0.58,0.17,0.17,43.0,60.7,70.9,798.2,305.0,18.8,22.3,84.7,13.8,17.7,78.1,7.75,16.2,47.9,0.06,1.97,6.3,1.91,0.23,7.98,60.7,50.6,9.71,3.87,0.17,0.87,6.99,1.16,4.45,1.85,2.02,0.12,43.0,0.4,1.21,4.22,2.31,1.33,0.23,0.0,0.35,0.0,0.29,0.12,0.12,0.0,0.0,0.06,0.0,1.91,1.33,0.87,0.75,0.29,0.92,2.08,44.4,1.16,1.04,0.17,0.87,1.27,3.18,0.46,0.06,73.0,1.97,11.7,41.3,21.4,1.04,72.8,3.7,1.91,51.6,1.16,31.3,52.1,301.2,126.5,1.68,2.02,0.06,2.2,1.79,48.3,3.7,0.17,0.06,0.0,2.2,3.24,0.0,6.99,1.33,0.0,0.0,0.0,7.86,0.35,0.92,27.3,0.3888888888888889,113.65,Excelente
463,1316,1317,Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,1998,21,20,1835,20.4,6,1.81,0.74,40.5,0.11,0.27,22.8,0.25,0.1,0.2,41.0,55.0,74.5,760.6,307.2,16.7,19.2,86.7,17.7,22.1,80.0,5.15,10.7,47.9,0.15,1.72,5.05,1.67,0.39,6.08,55.0,50.1,4.75,1.76,0.2,0.74,4.51,0.83,2.01,0.74,0.98,0.0,41.0,0.15,0.93,3.87,2.65,0.74,0.0,0.39,0.1,0.0,0.64,0.39,0.15,0.0,0.1,0.0,0.0,1.42,0.78,0.44,0.78,0.2,0.93,1.62,57.6,0.69,1.27,0.2,1.08,0.78,2.21,1.42,0.05,65.9,3.48,16.9,29.2,20.5,1.96,65.7,1.52,0.69,45.2,0.78,51.6,36.4,177.4,90.8,1.76,1.81,0.29,1.47,0.88,44.6,3.19,0.25,0.0,0.0,1.32,0.74,0.05,4.51,0.78,0.0,0.0,0.0,6.03,1.03,0.59,63.6,0.2857142857142857,112.64999999999999,Excelente
941,2588,2589,James Ward-Prowse,ENG,MF,Southampton,Premier League,28,1994,22,22,1980,22.0,5,1.09,0.41,37.5,0.21,0.56,25.6,0.41,0.0,0.05,43.7,57.7,75.8,755.9,230.3,21.1,23.7,88.9,16.4,20.5,80.0,4.77,10.2,46.9,0.09,2.14,4.68,0.82,0.36,5.36,57.7,48.5,9.05,4.14,0.05,0.5,7.55,0.14,4.09,1.77,2.0,0.0,43.7,0.09,1.05,3.5,1.55,1.86,0.05,0.05,0.0,0.0,0.23,0.09,0.05,0.05,0.05,0.0,0.0,1.59,0.86,0.59,0.82,0.18,0.45,1.32,34.5,0.86,0.59,0.05,0.55,1.23,2.82,0.95,0.0,65.3,2.0,11.1,34.6,19.8,0.77,65.2,0.45,0.18,40.0,0.27,60.0,29.5,110.8,49.6,0.59,0.68,0.0,0.91,0.68,37.5,1.5,0.14,0.0,0.0,0.95,0.45,0.0,7.55,0.86,0.0,0.0,0.05,5.73,1.68,1.18,58.7,0.22727272727272727,112.62,Excelente
234,642,643,Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,22,22,1925,21.4,5,1.78,0.75,42.1,0.03,0.06,24.7,0.61,0.19,0.19,50.5,66.6,75.9,1140.0,395.7,16.7,19.1,87.5,20.3,24.4,83.1,12.1,19.7,61.4,0.33,2.76,8.27,1.68,0.37,9.44,66.6,56.6,9.58,2.8,0.23,2.38,8.13,0.75,4.86,1.82,2.71,0.0,50.5,0.37,1.21,4.95,2.76,1.78,0.0,0.37,0.05,0.0,0.84,0.61,0.14,0.0,0.09,0.0,0.0,1.82,0.79,0.65,0.89,0.28,0.89,2.06,43.2,1.17,0.93,0.19,0.75,0.37,2.2,0.75,0.05,74.2,1.17,11.3,41.3,22.2,1.26,74.0,0.98,0.61,61.9,0.23,23.8,51.8,260.7,107.1,1.21,1.59,0.23,0.98,0.37,49.7,3.22,0.19,0.0,0.0,0.93,0.61,0.05,8.13,0.79,0.0,0.0,0.0,6.03,0.28,0.51,35.3,0.22727272727272727,112.12,Excelente
533,1494,1495,James Maddison,ENG,MFFW,Leicester City,Premier League,26,1996,16,15,1273,14.1,9,3.19,1.06,33.3,0.2,0.6,20.2,0.5,0.0,0.0,35.3,45.9,77.0,595.6,169.6,16.7,19.0,87.7,13.5,16.9,79.8,3.55,7.02,50.5,0.35,2.48,5.04,0.92,0.14,6.17,45.9,40.7,5.04,2.27,0.21,0.28,3.97,0.07,2.55,1.42,0.78,0.14,35.3,0.14,0.85,4.61,2.91,0.85,0.21,0.21,0.28,0.14,0.5,0.43,0.07,0.0,0.0,0.0,0.0,1.84,0.78,0.85,0.71,0.28,0.71,2.06,34.5,1.35,0.57,0.0,0.57,0.64,2.48,0.35,0.0,56.2,0.64,5.53,26.7,24.3,4.04,56.2,2.41,0.85,35.3,0.85,35.3,37.6,200.1,88.4,2.48,1.63,0.99,1.7,0.99,43.5,5.89,0.43,0.0,0.0,1.21,2.55,0.14,3.97,0.78,0.0,0.0,0.0,3.12,0.14,0.5,22.2,0.5625,112.02999999999997,Excelente
840,2325,2326,Florian Sotoca,FRA,MFFW,Lens,Ligue 1,32,1990,22,20,1788,19.9,6,2.76,0.9,32.7,0.09,0.28,14.8,0.0,0.05,0.15,34.7,45.3,76.5,598.2,171.7,15.8,18.6,84.9,13.4,17.5,76.4,3.77,5.73,65.8,0.3,2.21,4.17,1.86,0.55,6.58,45.3,44.2,0.85,0.25,0.4,0.6,2.81,0.6,0.0,0.0,0.0,0.0,34.7,0.25,1.36,4.37,3.57,0.0,0.1,0.5,0.15,0.05,0.6,0.5,0.0,0.0,0.05,0.05,0.0,1.41,0.6,0.4,0.55,0.45,0.55,1.26,44.0,0.7,1.41,0.05,1.36,1.01,2.41,1.06,0.0,56.6,1.21,5.23,27.9,23.9,4.77,56.4,1.21,0.45,37.5,0.55,45.8,44.2,219.1,71.9,1.26,1.71,0.55,1.41,0.9,44.0,9.5,0.15,0.0,0.0,1.11,1.16,0.1,2.81,0.6,0.05,0.0,0.0,3.27,1.41,1.41,50.0,0.2727272727272727,111.72999999999999,Excelente
492,1396,1397,Enzo Le F�e,FRA,MF,Lorient,Ligue 1,23,2000,22,22,1928,21.4,4,1.36,0.75,55.2,0.14,0.25,23.9,0.23,0.0,0.0,48.2,60.6,79.6,841.6,282.0,20.7,23.5,88.0,18.6,22.4,83.1,5.93,9.91,59.9,0.23,2.34,5.93,0.89,0.19,6.68,60.6,52.7,7.76,3.32,0.33,0.47,4.49,0.23,3.13,1.17,1.26,0.09,48.2,0.19,1.59,4.02,2.52,0.98,0.14,0.14,0.19,0.05,0.47,0.23,0.23,0.0,0.0,0.0,0.0,3.5,2.15,1.68,1.36,0.47,1.4,3.41,41.1,2.01,1.4,0.14,1.26,0.89,4.39,1.36,0.05,74.8,2.66,15.8,41.5,18.9,0.84,74.8,4.02,1.68,41.9,1.73,43.0,54.5,340.7,157.1,2.85,2.52,0.47,2.15,1.64,49.2,2.29,0.14,0.0,0.0,1.21,1.73,0.09,4.49,2.15,0.0,0.0,0.0,7.38,0.42,0.89,32.1,0.18181818181818182,111.31000000000002,Excelente
131,342,343,Julian Brandt,GER,MFFW,Dortmund,Bundesliga,26,1996,20,17,1495,16.6,6,1.33,0.66,50.0,0.27,0.55,18.2,0.06,0.0,0.0,38.9,51.4,75.5,575.2,151.7,22.3,25.4,87.7,9.82,13.1,74.8,3.86,7.35,52.5,0.24,2.83,1.99,1.39,0.18,4.34,51.4,45.4,5.72,0.72,0.18,0.48,6.45,0.48,4.4,1.81,2.05,0.12,38.9,0.3,1.08,5.0,3.25,1.2,0.24,0.12,0.12,0.06,0.6,0.36,0.18,0.06,0.0,0.0,0.0,1.08,0.72,0.12,0.6,0.36,0.42,1.08,38.9,0.66,0.66,0.0,0.66,0.6,1.69,0.12,0.06,61.4,0.24,5.9,24.8,31.8,3.13,61.4,2.95,1.51,51.0,1.33,44.9,36.5,186.9,84.4,2.29,1.45,0.9,2.17,1.27,44.2,8.31,0.06,0.0,0.0,0.3,0.66,0.3,6.45,0.72,0.0,0.0,0.0,5.3,0.42,1.02,29.2,0.3,110.31,Excelente
318,895,896,Jeremie Frimpong,NED,DFMF,Leverkusen,Bundesliga,22,2000,20,19,1614,17.9,5,1.23,0.56,45.5,0.23,0.5,12.5,0.0,0.0,0.0,32.8,42.1,78.1,428.2,144.7,23.0,26.3,87.4,7.71,10.2,75.8,1.01,2.29,43.9,0.22,1.23,1.51,1.01,0.34,2.51,42.1,34.2,7.82,0.39,0.0,0.17,2.01,7.43,0.0,0.0,0.0,0.0,32.8,0.0,1.28,3.18,2.07,0.0,0.5,0.17,0.45,0.0,0.39,0.28,0.0,0.06,0.0,0.06,0.0,2.12,1.01,0.95,1.01,0.17,0.95,1.56,60.7,0.61,0.95,0.06,0.89,0.56,2.68,1.73,0.0,54.9,1.68,12.4,22.3,21.3,3.63,54.9,5.36,2.46,45.8,1.56,29.2,30.4,256.7,160.8,5.81,3.74,1.4,2.57,1.73,34.9,7.37,0.11,0.0,0.0,0.61,2.46,0.17,2.01,1.01,0.0,0.0,0.0,4.08,0.5,0.95,34.6,0.25,110.30999999999999,Excelente
300,839,840,Bruno Fernandes,POR,MFFW,Manchester Utd,Premier League,28,1994,21,21,1888,21.0,5,2.05,0.62,30.2,0.09,0.31,21.6,0.14,0.05,0.05,38.1,51.4,74.1,624.0,206.9,20.6,24.1,85.6,11.6,15.0,77.2,4.29,7.9,54.2,0.19,2.71,3.33,2.19,0.24,6.71,51.4,47.0,4.1,0.67,0.71,0.9,3.43,0.43,1.52,0.62,0.38,0.0,38.1,0.24,1.29,4.95,4.05,0.33,0.14,0.33,0.1,0.0,0.57,0.52,0.0,0.0,0.05,0.0,0.0,2.43,1.38,0.86,0.9,0.67,1.05,2.05,51.2,1.0,1.0,0.1,0.9,0.71,3.14,1.29,0.0,61.8,2.19,9.86,24.6,27.8,3.48,61.7,1.48,0.57,38.7,0.71,48.4,34.2,158.7,79.2,1.95,1.81,0.33,1.1,1.43,41.9,5.57,0.24,0.0,0.0,1.29,1.1,0.48,3.43,1.38,0.0,0.0,0.0,6.29,0.48,1.52,23.8,0.23809523809523808,109.48000000000002,Excelente
636,1779,1780,R�ben Neves,POR,MF,Wolves,Premier League,25,1997,21,21,1890,21.0,5,1.9,0.38,20.0,0.08,0.38,27.0,0.38,0.1,0.1,51.4,62.2,82.6,1105.6,299.1,16.5,18.4,89.9,24.8,27.7,89.5,9.62,14.0,68.7,0.0,0.81,5.95,0.43,0.05,5.9,62.2,58.3,3.76,3.1,0.14,0.81,1.0,0.19,0.19,0.1,0.05,0.0,51.4,0.14,1.05,2.14,1.62,0.1,0.1,0.1,0.1,0.14,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.48,1.19,1.1,0.9,0.48,0.95,2.1,45.5,1.14,1.52,0.86,0.67,1.43,3.9,2.71,0.05,73.7,6.0,26.3,37.2,10.9,0.67,73.6,0.71,0.33,46.7,0.29,40.0,38.3,173.4,81.3,0.81,0.9,0.05,0.71,0.43,47.7,0.33,0.33,0.0,0.0,0.81,0.38,0.0,1.0,1.19,0.0,0.05,0.0,7.14,0.76,0.81,48.5,0.23809523809523808,108.81,Excelente
341,966,967,Aleksandr Golovin,RUS,MFFW,Monaco,Ligue 1,26,1996,22,18,1576,17.5,5,2.06,0.97,47.2,0.14,0.29,19.4,0.11,0.0,0.0,28.2,40.2,70.2,476.7,149.9,13.9,17.8,78.5,9.37,11.8,79.2,3.6,7.2,50.0,0.34,2.34,2.63,1.71,0.17,4.17,40.2,36.2,3.89,1.03,0.23,0.4,3.71,0.57,2.29,0.97,1.09,0.06,28.2,0.11,1.54,4.91,3.03,1.14,0.34,0.17,0.17,0.06,0.63,0.46,0.06,0.11,0.0,0.0,0.0,2.34,1.37,0.74,1.2,0.4,1.09,2.69,40.4,1.6,0.97,0.0,0.97,1.31,3.66,0.4,0.0,51.0,0.69,6.57,21.1,24.5,3.09,51.0,2.11,1.03,48.6,0.63,29.7,35.9,247.4,125.8,3.6,2.11,1.03,1.89,1.14,33.0,7.89,0.17,0.0,0.0,1.31,0.97,0.34,3.71,1.37,0.0,0.0,0.0,5.37,0.69,1.03,40.0,0.22727272727272727,108.19999999999999,Excelente
586,1634,1635,Brais M�ndez,ESP,MF,Real Sociedad,La Liga,26,1997,19,17,1451,16.1,7,2.36,0.93,39.5,0.18,0.47,20.3,0.37,0.0,0.0,40.9,51.3,79.8,659.0,163.7,22.9,25.6,89.6,11.7,14.6,80.4,4.6,7.52,61.2,0.19,1.68,3.91,1.18,0.19,4.91,51.3,45.5,5.59,1.74,0.25,0.68,4.1,0.25,3.48,0.99,1.55,0.0,40.9,0.25,0.93,3.48,2.24,0.75,0.25,0.12,0.12,0.0,0.5,0.25,0.12,0.06,0.06,0.0,0.0,2.42,1.43,0.75,1.24,0.43,1.18,2.36,50.0,1.18,0.99,0.12,0.87,0.5,2.92,0.56,0.06,61.9,1.12,7.27,30.5,24.6,1.93,61.9,1.8,0.62,34.5,1.12,62.1,33.7,147.0,62.9,1.37,1.55,0.25,1.61,1.24,43.1,4.91,0.31,0.0,0.0,2.36,1.8,0.06,4.1,1.43,0.0,0.0,0.0,4.84,0.81,0.81,50.0,0.3684210526315789,107.87,Excelente
269,756,757,Paulo Dybala,ARG,MFFW,Roma,Serie A,29,1993,16,15,1179,13.1,8,2.82,0.99,35.1,0.16,0.46,18.7,0.15,0.15,0.15,32.8,42.2,77.8,580.3,150.4,17.3,19.5,88.3,9.54,12.1,79.1,4.81,7.25,66.3,0.46,2.9,2.67,1.07,0.0,3.74,42.2,37.9,4.12,1.07,0.15,1.3,3.89,0.38,2.52,0.46,1.98,0.0,32.8,0.15,1.3,5.11,2.67,1.37,0.08,0.46,0.53,0.0,0.53,0.23,0.15,0.0,0.08,0.08,0.0,0.69,0.15,0.08,0.38,0.23,0.46,1.07,42.9,0.61,0.69,0.0,0.69,0.46,1.15,0.23,0.0,55.0,0.08,4.73,27.9,23.1,4.05,54.8,2.82,1.15,40.5,1.3,45.9,34.7,206.3,91.8,2.98,2.29,0.99,3.36,1.68,40.1,5.5,0.23,0.0,0.0,0.61,2.75,0.15,3.89,0.15,0.15,0.0,0.0,4.27,0.15,0.69,18.2,0.5,107.75999999999999,Excelente
409,1147,1148,Pierre H�jbjerg,DEN,MF,Tottenham,Premier League,27,1995,22,22,1961,21.8,4,1.06,0.32,30.4,0.17,0.57,21.1,0.0,0.0,0.0,58.6,66.3,88.4,1046.9,282.4,25.6,28.0,91.5,23.6,25.8,91.5,7.02,8.76,80.1,0.14,0.92,5.78,1.15,0.23,6.79,66.3,63.9,2.29,1.56,0.23,1.06,0.5,0.5,0.05,0.0,0.0,0.0,58.6,0.14,0.96,2.94,2.71,0.0,0.05,0.09,0.0,0.09,0.46,0.46,0.0,0.0,0.0,0.0,0.0,1.56,0.73,0.92,0.46,0.18,0.83,1.51,54.5,0.69,1.61,0.64,0.96,1.56,3.12,1.74,0.05,76.8,3.49,19.0,44.5,13.9,0.96,76.8,1.01,0.73,72.7,0.23,22.7,44.1,210.9,103.9,1.38,1.24,0.28,1.33,1.33,56.6,2.43,0.09,0.0,0.0,1.01,1.06,0.05,0.5,0.73,0.0,0.0,0.0,7.61,0.69,0.18,78.9,0.18181818181818182,107.55,Excelente
690,1920,1921,Pedri,ESP,MFFW,Barcelona,La Liga,20,2002,20,17,1539,17.1,5,0.94,0.47,50.0,0.31,0.63,16.8,0.0,0.0,0.0,57.7,65.8,87.7,1044.0,219.6,27.1,29.5,91.9,22.0,24.9,88.5,7.66,9.06,84.5,0.0,1.87,7.08,1.23,0.0,8.3,65.8,62.6,3.04,1.23,0.94,1.29,1.05,0.47,0.64,0.0,0.58,0.0,57.7,0.18,0.76,3.92,3.39,0.29,0.0,0.12,0.06,0.06,0.47,0.47,0.0,0.0,0.0,0.0,0.0,1.93,1.11,0.76,0.82,0.35,0.64,1.93,33.3,1.29,1.4,0.0,1.4,0.64,2.57,0.41,0.06,75.4,0.64,7.43,43.3,25.5,2.46,75.4,2.57,1.58,61.4,0.94,36.4,53.3,306.5,152.6,2.75,3.74,0.58,1.58,1.23,59.7,3.74,0.12,0.0,0.0,0.41,1.93,0.18,1.05,1.11,0.0,0.0,0.0,6.26,0.06,0.12,33.3,0.25,106.93,Excelente
429,1202,1203,Mathias Jensen,DEN,MF,Brentford,Premier League,27,1996,22,22,1675,18.6,3,0.75,0.22,28.6,0.21,0.75,23.5,0.11,0.0,0.0,33.7,49.4,68.1,664.2,253.3,14.8,18.2,81.4,12.1,17.0,71.0,5.86,11.6,50.7,0.22,1.34,3.71,0.91,0.32,4.09,49.4,37.0,12.2,2.58,0.11,0.91,5.22,4.95,2.96,1.4,0.81,0.27,33.7,0.16,0.91,3.17,1.45,1.45,0.0,0.16,0.05,0.05,0.48,0.27,0.11,0.0,0.05,0.0,0.05,2.42,1.13,0.97,1.02,0.43,0.91,3.01,30.4,2.1,1.77,0.05,1.72,1.18,3.6,0.86,0.05,60.6,1.29,12.6,27.6,20.9,1.08,60.6,1.88,0.65,34.3,0.97,51.4,28.0,109.0,40.5,0.81,0.75,0.05,2.04,1.13,31.3,2.2,0.16,0.0,0.0,1.13,0.65,0.05,5.22,1.13,0.0,0.0,0.0,6.24,0.38,0.7,35.0,0.13636363636363635,106.92,Excelente
422,1181,1182,Lee Jae-sung,KOR,MF,Mainz 05,Bundesliga,30,1992,20,14,1117,12.4,6,1.45,0.65,44.4,0.33,0.75,14.0,0.0,0.0,0.0,29.3,39.7,73.8,440.2,103.5,15.9,19.2,82.8,10.1,13.1,76.7,1.94,3.71,52.2,0.08,1.13,2.74,1.21,0.24,3.63,39.7,38.6,0.65,0.16,0.08,0.24,1.05,0.32,0.0,0.0,0.0,0.0,29.3,0.4,1.45,2.66,2.5,0.0,0.0,0.08,0.0,0.08,0.48,0.4,0.0,0.0,0.0,0.0,0.08,1.94,0.81,0.32,1.21,0.4,0.73,1.61,45.0,0.89,1.69,0.32,1.37,0.73,2.66,0.73,0.0,51.6,1.21,8.23,26.9,16.8,2.58,51.6,1.69,0.89,52.4,0.48,28.6,27.9,113.1,49.6,1.37,1.05,0.32,2.26,0.89,32.8,4.68,0.16,0.0,0.0,1.13,1.29,0.08,1.05,0.81,0.0,0.0,0.0,6.05,2.02,2.02,50.0,0.3,105.84,Excelente
