,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
106,284,285,Jean-Claude Billong,CMR,MF,Clermont Foot,Ligue 1,29,1993,1,0,23,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,113.3,97.1,2063.3,770.0,33.3,33.3,100.0,70.0,70.0,100.0,6.67,10.0,66.7,0.0,0.0,0.0,0.0,0.0,13.3,113.3,110.0,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,3.33,3.33,0.0,0.0,116.7,13.3,33.3,80.0,3.33,0.0,116.7,0.0,0.0,0.0,0.0,0.0,96.7,526.7,186.7,0.0,0.0,0.0,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,10.0,6.67,6.67,50.0,0.0,21.990000000000002,Mediano
813,2240,2241,Haris Seferovi?,SUI,MF,Celta Vigo,La Liga,30,1992,1,0,27,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,36.7,45.5,176.7,46.7,10.0,13.3,75.0,3.33,10.0,33.3,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,36.7,33.3,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,16.7,0.0,3.33,13.3,3.33,0.0,6.67,0.0,3.33,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,3.33,0.0,0.0,3.33,0.0,3.33,3.33,100.0,0.0,3.33,0.0,3.33,0.0,3.33,0.0,0.0,50.0,0.0,0.0,23.3,26.7,6.67,50.0,6.67,6.67,100.0,0.0,0.0,20.0,280.0,190.0,10.0,3.33,6.67,6.67,0.0,30.0,3.33,0.0,0.0,0.0,0.0,3.33,3.33,6.67,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,21.979999999999997,Mediano
107,288,289,Tom Bischof,GER,MFFW,Hoffenheim,Bundesliga,17,2005,6,3,235,2.6,0,1.92,0.38,20.0,0.0,0.0,21.9,0.0,0.0,0.0,23.1,30.4,75.9,354.2,102.3,11.2,14.2,78.4,7.69,8.85,87.0,2.31,3.85,60.0,0.0,1.92,1.92,1.15,0.38,3.85,30.4,28.5,1.92,0.77,0.38,0.0,2.31,0.38,0.77,0.77,0.0,0.0,23.1,0.0,1.54,2.69,1.92,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.31,0.77,1.15,1.54,1.92,2.31,83.3,0.38,1.54,0.0,1.54,0.0,3.46,0.0,0.0,46.5,0.0,5.0,21.9,21.2,2.31,46.5,2.69,0.0,0.0,1.92,71.4,25.8,119.6,62.3,2.69,3.85,0.38,2.31,1.54,27.7,3.46,0.0,0.0,0.0,2.69,1.92,0.0,2.31,2.31,0.0,0.0,0.0,3.46,0.0,1.15,0.0,0.0,21.92,Mediano
800,2201,2202,Morgan Sanson,FRA,MF,Strasbourg,Ligue 1,28,1994,3,3,192,2.1,0,0.95,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,20.0,26.7,75.0,289.5,82.9,8.57,10.5,81.8,8.57,11.0,78.3,0.95,2.86,33.3,0.48,0.48,2.86,0.48,0.48,0.95,26.7,25.2,1.43,0.48,0.0,0.0,0.95,0.48,0.0,0.0,0.0,0.0,20.0,0.0,0.95,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,2.38,1.43,1.43,0.95,0.0,0.0,0.48,0.0,0.48,1.43,0.0,1.43,1.9,4.29,0.95,0.0,43.3,1.43,9.05,25.7,9.05,0.95,43.3,4.29,0.95,22.2,2.38,55.6,31.0,221.9,99.5,1.9,0.95,0.48,1.43,1.43,29.5,3.81,0.0,0.0,0.0,2.38,2.38,0.0,0.95,1.43,0.0,0.0,0.0,6.67,1.43,1.43,50.0,0.0,21.900000000000002,Mediano
717,2002,2003,Jos� Pozo,ESP,MF,Rayo Vallecano,La Liga,26,1996,6,1,75,0.8,0,1.25,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,36.3,48.8,74.4,502.5,136.3,23.8,28.8,82.6,6.25,12.5,50.0,3.75,3.75,100.0,0.0,2.5,2.5,2.5,0.0,6.25,48.8,45.0,3.75,3.75,1.25,0.0,3.75,0.0,0.0,0.0,0.0,0.0,36.3,0.0,1.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.5,1.25,0.0,72.5,1.25,6.25,30.0,38.8,3.75,72.5,6.25,1.25,20.0,5.0,80.0,52.5,322.5,122.5,5.0,2.5,1.25,6.25,3.75,55.0,8.75,0.0,0.0,0.0,2.5,3.75,0.0,3.75,1.25,0.0,0.0,0.0,6.25,2.5,1.25,66.7,0.0,21.75,Mediano
64,173,174,C�dric Bakambu,COD,MF,Marseille,Ligue 1,31,1991,3,0,59,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,32.9,82.6,375.7,80.0,17.1,18.6,92.3,5.71,7.14,80.0,1.43,1.43,100.0,1.43,2.86,1.43,0.0,0.0,0.0,32.9,32.9,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,27.1,0.0,1.43,2.86,2.86,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,2.86,1.43,2.86,0.0,0.0,2.86,2.86,100.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,47.1,0.0,8.57,21.4,17.1,4.29,47.1,2.86,0.0,0.0,2.86,100.0,31.4,192.9,84.3,1.43,4.29,1.43,2.86,1.43,28.6,5.71,0.0,0.0,0.0,2.86,1.43,0.0,1.43,1.43,0.0,0.0,0.0,7.14,5.71,4.29,57.1,0.0,21.72,Mediano
964,2652,2653,Oliver Zand�n,SWE,DFMF,Toulouse,Ligue 1,21,2001,5,1,146,1.6,0,1.25,0.63,50.0,0.0,0.0,17.6,0.0,0.0,0.0,29.4,44.4,66.2,480.0,199.4,13.8,19.4,71.0,12.5,19.4,64.5,1.88,3.75,50.0,0.0,1.25,3.75,1.25,0.63,3.75,44.4,36.3,8.13,1.25,0.0,0.0,3.75,6.88,0.0,0.0,0.0,0.0,29.4,0.0,1.88,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.63,0.63,0.0,0.63,1.25,3.13,40.0,1.88,0.0,0.0,0.0,0.63,1.88,4.38,0.0,55.6,5.0,15.6,19.4,20.6,1.88,55.6,3.75,1.88,50.0,1.25,33.3,31.9,156.9,75.6,2.5,0.0,0.0,1.88,0.0,28.1,7.5,0.0,0.0,0.0,1.88,3.75,0.0,3.75,0.63,0.0,0.0,0.0,5.0,0.63,1.25,33.3,0.0,21.629999999999995,Mediano
737,2043,2044,Nicolai Rapp,GER,MFDF,Werder Bremen,Bundesliga,26,1996,7,0,71,0.8,0,1.25,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,58.8,73.8,79.7,1131.3,347.5,25.0,30.0,83.3,21.3,26.3,81.0,10.0,13.8,72.7,0.0,0.0,3.75,1.25,0.0,6.25,73.8,70.0,3.75,2.5,0.0,1.25,1.25,1.25,0.0,0.0,0.0,0.0,58.8,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.25,3.75,0.0,0.0,0.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,3.75,1.25,0.0,85.0,2.5,30.0,45.0,10.0,3.75,85.0,1.25,0.0,0.0,1.25,100.0,41.3,167.5,57.5,1.25,0.0,1.25,0.0,0.0,48.8,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.25,1.25,0.0,0.0,0.0,7.5,1.25,2.5,33.3,0.0,21.5,Mediano
681,1902,1903,Ra�l Parra,ESP,DFMF,C�diz,La Liga,23,1999,2,0,33,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,40.0,252.5,137.5,2.5,5.0,50.0,5.0,12.5,40.0,2.5,5.0,50.0,0.0,0.0,2.5,0.0,0.0,2.5,25.0,17.5,7.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,10.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,5.0,0.0,37.5,10.0,22.5,15.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,10.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,21.5,Mediano
497,1413,1414,Mario Lemina,GAB,MF,Wolves,Premier League,29,1993,4,3,192,2.1,0,0.48,0.0,0.0,0.0,0.0,32.7,0.0,0.0,0.0,38.1,43.3,87.9,639.0,163.3,18.6,21.0,88.6,16.7,17.6,94.6,2.38,3.33,71.4,0.0,0.48,1.43,1.43,0.48,2.86,43.3,42.9,0.48,0.48,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.48,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.43,1.43,0.48,0.0,0.48,0.48,100.0,0.0,2.86,0.48,2.38,0.95,2.86,3.33,0.0,56.7,4.29,18.1,31.4,8.57,0.0,56.7,1.43,0.95,66.7,0.0,0.0,28.1,88.1,33.8,0.0,0.0,0.0,0.48,1.9,33.3,0.95,1.43,0.48,0.48,1.43,0.95,0.0,0.48,1.43,0.0,0.0,0.0,7.14,1.9,0.0,100.0,0.0,21.46,Mediano
