,_c0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,GPJ,score,Desempenho
10,269,270,Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,14,14,1260,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,25.2,70.0,476.6,350.9,3.57,3.71,96.2,8.86,9.14,96.9,5.07,12.1,42.0,0.0,0.0,0.43,0.0,0.0,0.0,25.2,15.6,9.5,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.07,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.07,28.1,23.8,27.9,0.14,0.0,0.0,28.1,0.0,0.0,0.0,0.0,0.0,16.7,78.9,53.6,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.71,0.36,0.07,83.3,0.0,54.84,Mediano
20,443,444,Marco Carnesecchi,ITA,GK,Cremonese,Serie A,22,2000,12,12,1080,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,32.1,63.9,611.0,461.6,3.33,3.33,100.0,9.58,9.83,97.5,7.08,18.3,38.8,0.0,0.0,0.92,0.0,0.0,0.0,32.1,21.4,10.5,3.33,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.17,0.0,0.33,0.17,0.17,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.08,34.8,31.1,34.8,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,18.3,96.2,50.8,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.08,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,100.0,0.0,54.5,Mediano
115,1971,1972,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,36.8,61.8,726.7,552.5,5.4,5.45,99.1,7.3,7.35,99.3,9.85,23.6,41.7,0.05,0.1,1.45,0.05,0.0,0.05,36.8,24.1,12.5,3.6,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.15,0.05,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.65,0.1,40.0,29.9,39.0,1.05,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,21.4,130.3,85.8,0.0,0.0,0.0,0.05,0.05,16.9,0.0,0.2,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.95,0.2,0.15,57.1,0.0,53.64999999999999,Mediano
29,584,585,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,5,5,450,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,33.8,68.6,742.4,579.4,3.6,3.6,100.0,10.4,10.4,100.0,9.2,19.8,46.5,0.0,0.0,1.8,0.0,0.0,0.0,33.8,24.6,9.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,26.6,33.8,1.2,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,22.4,125.8,67.8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.0,100.0,0.0,53.40000000000001,Mediano
67,1322,1323,Tom� Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,4,4,360,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,41.5,65.1,1036.3,842.0,1.75,1.75,100.0,11.8,11.8,100.0,13.5,28.0,48.2,0.0,0.0,2.5,0.0,0.0,0.0,41.5,29.0,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,45.0,34.3,44.5,0.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,24.3,176.8,121.3,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,100.0,0.0,53.099999999999994,Mediano
8,222,223,Gavin Bazunu,IRL,GK,Southampton,Premier League,20,2002,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,36.6,60.7,706.9,540.7,4.77,4.86,98.1,7.91,8.09,97.8,9.5,23.5,40.5,0.0,0.05,1.73,0.05,0.0,0.05,36.6,26.6,9.82,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.18,0.0,0.32,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.05,100.0,0.0,0.0,0.0,0.0,0.05,0.09,0.86,0.05,39.1,27.0,38.3,0.82,0.0,0.0,39.1,0.0,0.0,0.0,0.0,0.0,23.3,122.2,71.2,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.23,0.45,0.0,100.0,0.0,51.280000000000015,Mediano
93,1661,1662,Vanja Milinkovi?-Savi?,SRB,GK,Torino,Serie A,25,1997,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44.8,57.9,845.8,611.2,2.95,3.0,98.5,12.9,13.1,98.3,10.0,28.2,35.6,0.0,0.0,2.41,0.09,0.0,0.0,44.8,34.5,9.91,2.59,0.0,0.27,0.0,0.05,0.0,0.0,0.0,0.0,26.0,0.41,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.09,0.0,0.0,0.09,0.09,100.0,0.0,0.0,0.0,0.0,0.05,0.14,0.55,0.05,47.1,33.3,46.5,0.64,0.05,0.05,47.1,0.0,0.0,0.0,0.0,0.0,29.7,197.1,113.7,0.0,0.0,0.0,0.05,0.05,24.1,0.0,0.09,0.0,0.0,0.0,0.18,0.0,0.0,0.05,0.0,0.0,0.0,1.36,0.27,0.05,85.7,0.0,50.83000000000001,Mediano
113,1931,1932,Patrick Pentz,AUT,GK,Reims,Ligue 1,26,1997,7,7,630,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,30.1,66.8,532.1,354.3,4.86,5.14,94.4,8.71,8.71,100.0,6.29,16.0,39.3,0.0,0.0,0.43,0.0,0.0,0.0,30.1,19.7,10.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,31.6,27.3,31.6,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,20.6,120.7,71.9,0.0,0.14,0.14,0.0,0.0,13.0,0.0,0.14,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,49.34,Mediano
33,689,690,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,19,19,1710,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,30.7,61.5,543.3,397.6,3.47,3.47,100.0,8.95,9.11,98.3,6.42,17.8,36.0,0.0,0.05,0.58,0.0,0.0,0.0,30.7,19.7,10.8,2.58,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.21,0.0,0.16,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.47,0.11,32.7,27.2,32.5,0.21,0.0,0.0,32.7,0.0,0.0,0.0,0.0,0.0,16.9,104.7,63.8,0.0,0.0,0.0,0.0,0.0,11.4,0.05,0.16,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.26,0.0,100.0,0.0,49.17,Mediano
91,1649,1650,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,30.3,60.1,456.2,297.3,4.38,4.52,96.8,9.1,9.33,97.4,4.67,16.3,28.7,0.0,0.0,0.33,0.05,0.0,0.0,30.3,20.0,10.2,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.05,0.05,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.14,33.3,0.1,0.0,0.0,0.0,0.05,0.1,0.71,0.0,32.8,26.7,32.6,0.24,0.05,0.0,32.8,0.0,0.0,0.0,0.0,0.0,16.3,100.4,56.4,0.0,0.0,0.0,0.05,0.0,11.8,0.0,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.29,0.05,85.7,0.0,48.90999999999998,Mediano
